Row Labels,Lives rent free,Owned: Owns outright,Owned: Owns with a mortgage or loan,Private rented: Other private rented,Private rented: Private landlord or letting agency,Shared ownership: Shared ownership,Social rented: Other social rented,Social rented: Rents from council or Local Authority,Grand Total
E00178055,0,3,7,1,22,26,6,5,70
E00178056,0,10,4,6,81,2,1,1,105
E00178057,0,25,90,6,36,11,11,0,179
E00178058,0,7,15,1,40,1,0,0,64
E00178059,1,8,36,8,72,0,11,44,180
E00178060,0,41,38,7,97,10,29,2,224
E00178061,0,24,50,5,77,3,31,1,191
E00178062,0,14,46,4,54,1,5,8,132
E00178063,0,31,4,2,2,0,1,1,41
E00178064,0,23,21,4,3,0,0,1,52
E00178065,0,12,37,2,39,0,6,5,101
E00178066,0,8,8,5,166,3,12,3,205
E00178067,0,20,34,7,33,0,5,7,106
E00178068,0,8,20,0,16,0,2,3,49
E00178069,0,21,131,2,49,0,9,0,212
E00178070,1,71,35,3,12,2,0,1,125
E00178071,2,12,21,3,35,0,7,24,104
E00178072,0,15,17,3,104,0,9,3,151
E00178073,0,2,3,1,89,0,18,2,115
E00178074,0,41,67,1,17,0,1,0,127
E00178075,1,23,17,2,16,0,2,4,65
E00178076,0,20,34,11,126,0,4,3,198
E00178077,0,20,18,0,8,0,1,1,48
E00178078,0,3,2,0,1,0,4,75,85
E00178079,0,90,65,10,58,0,1,3,227
E00178080,4,6,1,1,10,0,2,148,172
E00178081,0,8,6,2,28,0,40,3,87
E00178082,0,22,47,5,49,0,0,2,125
E00178083,0,4,9,6,59,20,26,1,125
E00178084,0,10,52,2,192,69,28,0,353
E00178085,0,0,6,3,35,1,2,1,48
E00178086,0,31,49,10,86,3,5,1,185
E00178087,0,8,19,3,52,0,41,27,150
E00178088,0,5,34,3,25,0,1,1,69
E00178089,3,0,9,0,16,1,3,131,163
E00178090,0,4,20,2,45,0,25,1,97
E00178091,0,12,37,2,45,1,33,17,147
E00178092,0,62,47,4,46,0,10,1,170
E00178093,0,2,4,0,69,2,13,1,91
E00178094,0,6,26,3,37,1,13,2,88
E00178095,0,9,25,2,13,1,14,4,68
E00178096,0,9,9,3,76,0,2,1,100
E00178097,0,18,23,4,30,0,2,2,79
E00178098,0,8,28,1,20,0,3,50,110
E00178099,0,37,43,1,6,0,1,0,88
E00178100,0,15,45,3,27,0,1,2,93
E00178101,0,7,32,4,80,0,0,3,126
E00178102,0,33,35,2,16,0,4,40,130
E00178103,0,22,44,5,65,1,3,2,142
E00178104,4,24,29,1,5,1,1,39,104
E00178105,0,39,8,4,24,0,1,4,80
E00178106,0,36,22,5,33,0,1,1,98
E00178107,0,8,40,0,3,10,9,5,75
E00178108,0,25,103,0,15,2,50,19,214
E00178109,1,21,13,12,63,1,0,3,114
E00178110,0,6,56,3,14,11,8,1,99
E00178111,0,4,5,1,31,0,1,1,43
E00178112,0,35,25,0,162,1,14,0,237
E00178113,0,29,29,2,8,0,15,19,102
E00178114,0,22,33,3,68,0,1,1,128
E00178115,0,0,24,4,17,32,2,4,83
E00178116,2,3,0,2,10,0,0,40,57
E00178117,0,16,96,7,96,1,18,9,243
E00178118,0,10,105,0,6,24,0,7,152
E00178119,1,40,37,3,12,1,4,25,123
