Row Labels,Africa,Antarctica and Oceania (including Australasia) and Other,British Overseas,Europe: EU countries: All other EU countries,Europe: EU countries: European Union EU14,Europe: EU countries: European Union EU2,Europe: EU countries: European Union EU8,Europe: Non-EU countries: All other non-EU countries,Europe: United Kingdom,Middle East and Asia,The Americas and the Caribbean,TotalOri
E00073255,5,1,0,1,10,9,8,6,352,25,12,429
E00073256,7,1,0,0,20,1,15,0,307,11,3,365
E00073257,0,3,0,0,5,4,12,4,349,11,1,389
E00073258,6,2,0,0,13,1,21,6,334,20,0,403
E00073259,2,0,0,0,4,0,2,1,248,3,1,261
E00073260,8,2,0,0,11,0,3,0,283,0,0,307
E00073261,2,0,0,0,3,2,9,1,323,5,0,345
E00073262,1,1,0,0,3,0,0,5,212,10,5,237
E00073263,5,4,0,0,23,16,7,3,325,12,9,404
E00073264,9,0,0,2,19,0,3,1,310,12,6,362
E00073266,4,1,0,1,10,7,8,1,279,10,8,329
E00073267,1,3,0,0,13,0,4,5,241,10,0,277
E00073268,8,0,0,0,16,1,4,2,372,13,8,424
E00073269,2,5,0,0,16,6,1,7,353,8,6,404
E00073270,10,3,0,0,18,0,3,3,347,5,7,396
E00073271,3,4,0,1,29,1,9,5,409,8,10,479
E00073272,8,4,0,0,12,2,2,3,300,22,5,358
E00073273,10,4,1,2,8,0,0,1,247,7,2,282
E00073274,13,0,0,1,22,0,9,12,525,14,3,599
E00073276,9,7,0,2,17,3,2,10,257,16,4,327
E00073277,5,4,1,4,8,5,1,5,279,9,11,332
E00073278,0,0,0,3,17,0,0,1,355,8,9,393
E00073280,6,5,0,0,13,0,2,0,324,3,6,359
E00073281,4,1,0,3,19,1,5,1,379,5,6,424
E00073282,10,7,0,2,20,0,2,3,364,9,4,421
E00073283,2,2,0,2,14,0,3,1,311,2,5,342
E00073284,7,3,0,0,16,0,4,0,155,15,4,204
E00073285,2,1,0,1,12,8,3,3,337,8,1,376
E00073286,3,3,0,0,19,1,3,0,291,9,9,338
E00073287,2,2,0,0,14,2,7,1,254,11,0,293
E00073288,4,1,0,0,7,5,1,1,279,11,5,314
E00073289,6,0,0,1,9,1,3,0,337,7,1,365
E00073290,6,5,0,2,8,2,4,1,277,9,5,319
E00073291,0,5,1,2,16,0,6,2,293,5,10,340
E00073292,9,1,0,0,25,0,10,0,494,6,3,548
E00073293,3,0,0,0,23,0,2,1,370,0,4,403
E00073294,15,5,0,0,16,0,12,0,370,16,7,441
E00073295,1,0,0,0,13,0,1,7,301,13,6,342
E00073296,5,4,0,2,14,2,0,0,278,7,3,315
E00073297,4,6,1,0,14,3,6,4,317,0,9,364
E00073298,0,2,0,0,34,8,5,4,326,19,14,412
E00073299,12,0,0,0,11,0,7,4,338,7,0,379
E00073300,4,4,0,0,15,0,0,1,246,0,0,270
E00073301,4,0,0,0,9,5,6,3,336,0,9,372
E00073302,8,0,0,0,3,4,6,0,342,6,0,369
E00073303,4,0,0,0,5,5,10,0,400,1,0,425
E00073304,4,0,0,0,10,5,9,0,284,1,0,313
E00073305,5,1,0,0,11,0,5,2,274,5,0,303
E00073306,0,0,0,0,5,0,6,0,251,0,4,266
E00073307,2,3,0,0,8,0,10,4,258,1,0,286
E00073308,7,0,0,0,1,0,3,1,317,2,2,333
E00073309,3,0,0,0,3,10,3,1,262,5,5,292
E00073310,5,4,0,1,4,0,10,2,331,4,5,366
E00073311,4,0,0,0,5,0,14,0,283,3,1,310
E00073312,4,0,0,0,8,3,11,0,334,3,6,369
E00073313,0,0,0,0,8,2,16,1,349,6,2,384
E00073314,15,0,0,0,7,2,9,3,251,0,0,287
E00073315,1,0,0,0,2,0,12,1,182,2,0,200
E00073316,16,0,0,0,9,0,2,1,291,1,0,320
