Row Labels,Africa,Antarctica and Oceania (including Australasia) and Other,British Overseas,Europe: EU countries: All other EU countries,Europe: EU countries: European Union EU14,Europe: EU countries: European Union EU2,Europe: EU countries: European Union EU8,Europe: Non-EU countries: All other non-EU countries,Europe: United Kingdom,Middle East and Asia,The Americas and the Caribbean,TotalOri
E00073618,3,0,0,0,4,4,13,2,263,22,6,317
E00073619,9,0,0,1,12,4,6,4,308,40,6,390
E00073620,7,0,0,0,10,1,5,1,279,12,1,316
E00073621,10,0,0,0,14,2,7,6,273,48,10,370
E00073622,12,1,1,0,6,1,7,1,267,13,5,314
E00073623,7,0,0,0,3,4,3,3,301,32,5,358
E00073624,9,0,0,0,9,1,4,0,224,10,5,262
E00073625,8,0,0,1,13,4,10,0,295,25,1,357
E00073626,17,0,0,0,5,1,0,0,270,8,4,305
E00073627,19,1,0,0,13,10,11,0,347,14,13,428
E00073628,30,0,0,0,14,6,6,3,143,14,13,229
E00073629,17,0,0,0,9,5,11,1,319,19,0,381
E00073630,13,0,1,0,16,46,33,10,286,43,10,458
E00073631,3,1,0,1,15,0,11,4,276,15,5,331
E00073632,13,2,0,2,13,1,3,0,326,37,11,408
E00073633,10,0,0,0,8,6,13,3,208,6,10,264
E00073634,36,0,0,2,16,5,13,2,360,46,10,490
E00073635,8,0,0,0,16,1,9,1,283,29,9,356
E00073636,6,2,0,0,11,7,14,0,331,20,1,392
E00073637,15,1,0,1,2,3,24,0,294,14,10,364
E00073638,19,2,0,1,6,2,13,0,297,12,5,357
E00073639,5,1,0,0,4,4,19,0,318,10,3,364
E00073640,0,0,0,0,9,0,10,8,298,25,6,356
E00073641,6,1,0,0,9,5,16,1,344,2,5,389
E00073642,26,0,0,0,13,11,20,4,275,23,6,378
E00073643,13,2,0,0,5,4,16,1,346,18,2,407
E00073644,6,0,0,0,3,2,10,4,348,12,4,389
E00073645,14,1,0,0,9,4,16,1,329,11,0,385
E00073646,41,1,0,1,24,11,60,5,396,20,6,565
E00073647,9,0,0,2,4,5,8,0,331,18,3,380
E00073648,9,0,0,0,4,4,27,2,370,4,0,420
E00073649,17,1,0,0,8,6,10,1,301,13,2,359
E00073650,28,0,0,0,14,11,18,0,290,5,7,373
E00073651,0,0,0,0,14,4,6,3,397,9,0,433
E00073652,9,1,0,0,6,1,22,3,275,4,9,330
E00073653,5,0,0,0,4,0,12,0,179,14,0,214
E00073654,9,0,0,0,14,2,11,4,310,2,0,352
E00073655,7,0,0,0,7,9,27,2,380,7,6,445
E00073656,3,1,0,1,18,7,14,3,321,10,14,392
E00073657,5,0,0,0,3,0,3,1,278,13,3,306
E00073658,9,0,0,0,5,5,12,2,281,9,0,323
E00073659,5,1,0,0,7,1,30,1,292,0,0,337
E00073660,8,0,0,0,21,2,12,0,351,3,0,397
E00073662,8,0,0,0,9,12,16,0,285,6,4,340
E00073663,0,0,0,0,5,12,12,9,275,3,4,320
E00073664,3,0,0,0,5,0,4,0,190,1,0,203
E00073665,13,0,0,0,14,1,6,0,274,3,4,315
E00073666,4,0,0,0,13,1,12,2,344,15,4,395
E00073667,9,0,0,0,13,24,31,1,413,13,12,516
E00073668,14,0,0,0,10,1,13,4,261,11,2,316
E00073669,6,0,0,0,11,12,6,0,222,16,1,274
E00073670,6,1,0,0,9,4,5,0,209,3,1,238
E00073671,13,1,0,0,7,1,27,0,304,12,3,368
E00073672,18,0,0,0,13,3,5,1,303,17,15,375
E00073673,7,0,0,0,5,7,8,4,178,31,6,246
E00073674,11,0,0,1,5,1,4,6,272,20,6,326
E00073675,5,0,0,0,6,0,0,2,234,6,4,257
E00073676,0,0,0,0,11,17,7,6,359,56,0,456
E00073677,17,0,0,0,9,0,1,0,286,25,11,349
E00073678,26,0,0,1,9,2,23,8,183,27,8,287
E00073679,4,1,2,2,2,2,13,0,151,13,6,196
E00073680,32,0,0,0,14,4,2,7,199,16,15,289
E00073681,12,0,0,0,18,5,9,1,427,39,7,518
E00073682,10,0,0,0,5,5,11,4,266,49,9,359
E00073683,11,0,0,1,14,0,6,4,336,19,7,398
E00073684,7,0,0,2,17,7,15,4,239,26,5,322
E00073685,15,0,0,0,8,3,8,3,258,17,7,319
E00073688,14,0,0,0,2,3,1,7,264,36,7,334
E00073689,3,5,0,0,5,7,12,1,262,21,3,319
E00073690,15,0,0,0,10,11,9,0,298,21,9,373
E00073691,5,2,0,1,9,0,11,2,295,7,5,337
E00073692,17,0,0,2,15,4,10,0,340,16,6,410
E00073693,24,0,0,0,16,17,21,6,330,42,12,468
E00073695,14,2,0,2,7,0,6,0,273,15,4,323
E00073696,6,1,0,1,9,8,7,2,257,25,8,324
E00073697,11,1,0,0,13,27,14,5,261,5,4,341
E00073698,22,0,0,0,25,14,18,3,335,39,11,467
E00073699,14,0,0,0,22,3,18,3,265,14,6,345
E00073700,7,1,0,0,9,5,3,1,219,11,3,259
E00073701,2,0,0,0,3,7,4,2,203,9,5,235
E00073702,12,3,0,0,6,1,5,1,240,15,6,289
E00073703,11,1,0,2,9,6,2,0,192,26,6,255
E00073704,3,0,0,0,8,3,1,0,233,3,0,251
E00073705,3,0,1,3,10,3,3,0,264,7,0,294
E00073706,22,0,0,0,8,16,14,11,279,24,6,380
E00073707,6,2,1,0,8,9,5,0,206,37,1,275
E00073708,8,0,0,2,6,4,7,0,259,19,0,305
E00073709,3,1,0,0,5,1,11,1,305,1,3,331
E00073710,0,1,0,0,4,1,3,9,251,1,0,270
E00073711,3,0,0,0,6,3,2,0,387,9,3,413
E00073712,0,0,0,0,2,0,6,4,339,1,0,352
E00073713,5,0,0,0,9,0,11,0,354,15,5,399
E00073714,6,0,0,0,1,6,4,0,265,8,2,292
E00073715,6,3,0,1,8,0,4,4,370,9,4,409
E00073716,5,0,0,0,1,0,12,0,252,2,3,275
E00073717,4,1,0,0,3,0,17,0,290,3,1,319
E00073718,5,0,0,0,5,5,12,2,291,37,3,360
E00073719,1,0,0,0,6,2,13,4,361,9,0,396
E00073720,0,0,0,0,10,2,7,0,361,7,1,388
E00073721,0,2,0,0,6,2,14,2,235,12,3,276
E00073722,0,0,0,0,9,4,15,0,350,9,4,391
E00073723,7,1,0,1,4,1,13,3,301,4,1,336
E00073724,18,0,0,0,7,3,9,0,471,13,0,521
E00073725,0,1,0,0,7,0,9,0,245,0,1,263
E00073726,2,0,1,0,8,1,1,3,228,5,3,252
E00073727,11,0,0,0,1,0,0,0,224,0,3,239
E00073728,0,0,0,0,4,3,15,0,280,4,1,307
E00073729,2,0,0,0,2,0,2,6,258,8,0,278
E00073730,4,0,0,0,7,2,12,4,268,0,0,297
E00073731,1,0,0,0,6,0,10,0,265,0,0,282
E00073732,1,0,0,0,7,0,6,0,248,8,0,270
E00073733,0,0,0,0,8,1,12,2,239,2,0,264
E00073734,0,0,0,0,4,0,2,1,240,4,1,252
E00073735,0,0,0,0,4,5,17,0,279,2,0,307
E00073736,1,0,0,1,2,0,3,0,259,7,0,273
E00073737,1,1,0,0,6,1,3,0,298,7,0,317
E00073738,2,0,1,0,1,0,2,0,322,2,3,333
E00073739,8,1,0,0,4,1,1,0,350,0,2,367
E00073740,1,1,0,0,5,0,2,0,301,2,0,312
E00073741,2,2,0,0,5,0,3,0,258,0,2,272
E00073743,3,3,0,0,2,0,0,3,318,2,6,337
E00073744,11,1,0,0,4,2,26,3,314,9,1,371
E00073745,13,1,0,1,7,3,21,0,290,7,2,345
E00073746,12,0,0,0,13,7,35,2,175,7,7,258
E00073747,10,0,0,0,9,0,7,2,255,4,4,291
E00073748,19,0,0,2,24,16,54,2,462,23,8,610
E00073749,12,0,0,1,7,0,8,3,240,9,6,286
E00073750,10,1,0,0,5,2,14,0,250,16,0,298
E00073751,20,0,0,0,6,0,3,1,281,17,2,330
E00073752,29,0,1,1,21,2,28,3,427,37,7,556
E00073754,23,0,0,1,2,12,40,6,285,18,3,390
E00073755,21,1,0,0,9,2,21,4,221,9,5,293
E00073756,5,2,0,2,6,8,7,2,118,9,5,164
E00073757,9,1,0,0,12,0,6,1,241,4,0,274
E00073758,19,1,0,0,4,15,30,0,321,31,1,422
E00073759,15,0,0,2,2,0,26,7,300,16,4,372
E00073760,12,1,0,0,18,5,12,1,250,11,8,318
E00073761,6,0,0,0,11,7,30,4,306,28,8,400
E00073762,5,0,0,0,6,1,3,0,240,3,6,264
E00073763,11,0,0,0,11,0,31,6,249,9,7,324
E00073764,14,0,0,1,12,0,30,3,282,35,6,383
E00073765,6,1,0,1,8,5,5,1,247,12,5,291
E00073766,13,0,0,0,7,7,18,2,309,4,0,360
E00073767,8,0,0,0,5,12,20,4,334,13,5,401
E00073768,0,1,0,0,7,7,35,6,309,9,9,383
E00073769,7,0,1,1,4,8,11,1,253,6,1,293
E00073770,2,0,0,0,4,9,22,0,234,10,0,281
E00073771,7,1,0,0,6,4,9,0,266,23,7,323
E00073772,10,0,0,0,10,4,4,0,291,13,0,332
E00073773,0,1,0,0,6,7,25,4,260,5,3,311
E00073774,7,0,0,0,22,11,23,6,322,27,8,426
E00073775,17,1,0,0,5,11,34,10,327,17,0,422
E00073776,19,1,0,0,8,2,33,1,187,18,6,275
E00073777,10,0,0,0,9,3,7,3,206,18,11,267
E00073778,2,1,0,0,5,6,2,0,286,24,1,327
E00073779,4,0,0,2,9,2,1,1,230,8,4,261
E00073780,0,0,0,0,8,6,9,1,179,7,6,216
E00073781,5,1,0,1,8,3,20,0,288,8,1,335
E00073782,0,0,0,0,7,14,7,4,369,6,0,407
E00073783,8,1,0,0,3,2,3,0,337,10,0,364
E00073784,13,0,0,1,10,3,21,4,481,15,4,552
E00073785,0,0,0,0,6,0,2,1,361,8,0,378
E00073786,17,0,0,1,14,2,12,2,391,16,4,459
E00073787,3,0,0,1,2,3,10,1,353,10,0,383
E00073788,4,0,0,0,7,0,4,0,312,10,0,337
E00073789,1,1,0,0,1,3,6,0,312,6,1,331
E00073790,10,0,0,0,0,0,11,0,409,5,1,436
E00073791,0,1,0,0,1,2,10,2,229,5,0,250
E00073792,12,0,1,0,4,7,8,0,360,22,6,420
E00073793,2,0,0,1,9,4,9,0,320,10,3,358
E00073794,7,0,0,0,12,11,8,0,283,15,6,342
E00073795,1,0,0,2,5,0,0,0,325,7,9,349
E00073796,0,0,0,0,7,0,1,0,259,2,0,269
E00073797,1,4,0,0,6,7,5,0,244,7,2,276
E00073798,0,0,0,0,3,10,2,0,309,3,1,328
E00073799,7,0,0,0,4,3,6,7,335,19,2,383
E00073800,1,1,0,0,1,2,4,0,234,2,10,255
E00073801,3,2,0,0,2,2,1,0,265,5,5,285
E00073802,8,1,0,2,10,13,11,1,273,4,0,323
E00073803,0,3,0,0,5,0,5,0,312,9,3,337
E00073804,5,0,0,0,1,1,5,0,238,0,0,250
E00073805,1,1,0,1,3,2,6,2,288,3,1,308
E00073806,5,1,0,2,4,0,0,0,244,5,0,261
E00073807,0,0,0,0,10,0,7,0,285,3,0,305
E00073808,0,0,1,0,3,0,1,1,254,1,1,262
E00073809,1,2,0,0,9,5,0,0,295,0,1,313
E00073810,2,0,0,0,0,0,0,0,285,4,0,291
E00073811,9,4,0,0,7,18,5,0,284,10,6,343
E00073812,0,0,0,2,9,0,9,1,275,4,0,300
E00073813,1,0,0,0,4,2,15,0,272,6,3,303
E00073814,4,0,0,0,8,3,1,4,343,6,1,370
E00073815,5,0,0,0,8,0,8,8,369,25,0,423
E00073816,0,0,0,0,7,0,0,2,262,2,2,275
E00073817,8,0,0,0,7,0,21,0,327,10,10,383
E00073818,7,0,0,0,15,2,5,3,296,10,6,344
E00073819,3,0,0,0,11,3,0,0,249,12,3,281
E00073820,6,2,0,0,6,3,0,0,241,13,4,275
E00073821,7,1,0,0,19,0,9,1,181,10,8,236
E00073822,4,0,2,4,13,2,2,5,385,15,3,435
E00073823,4,0,0,0,6,0,2,0,221,15,3,251
E00073824,4,0,0,0,16,0,1,2,288,10,4,325
E00073825,6,0,0,1,11,0,3,1,331,6,8,367
E00073826,0,4,0,0,10,0,2,3,289,9,15,332
E00073827,8,5,0,2,21,2,2,0,338,11,1,390
E00073828,1,6,0,1,13,1,2,1,238,6,5,274
E00073829,8,3,0,2,8,0,0,0,231,0,6,258
E00073830,9,0,0,0,18,0,3,3,295,11,10,349
E00073831,5,4,0,0,4,6,0,0,272,7,6,304
E00073832,3,5,0,0,11,0,0,1,238,15,3,276
E00073833,5,0,1,1,9,0,2,3,320,6,4,351
E00073834,6,1,0,0,8,4,3,3,234,17,6,282
E00073835,3,5,0,0,9,0,2,0,288,12,5,324
E00073836,2,5,0,0,8,0,3,0,177,5,5,205
E00073837,1,4,0,0,10,1,2,1,279,6,6,310
E00073838,4,0,0,0,7,2,0,2,314,9,6,344
E00073839,0,6,0,2,8,0,0,1,310,13,4,344
E00073840,7,1,0,0,17,0,1,0,316,8,0,350
E00073841,6,6,0,0,8,0,1,0,288,7,5,321
E00073842,3,0,0,0,9,0,9,0,315,12,4,352
E00073843,9,2,1,0,22,0,0,0,308,5,7,354
E00073844,4,0,0,0,9,2,6,0,315,6,9,351
E00073845,6,4,0,0,7,0,3,0,299,16,4,339
E00073846,1,0,0,0,4,0,2,0,263,9,6,285
E00073847,6,1,0,0,12,0,1,3,281,14,0,318
E00073848,5,0,0,0,13,1,2,1,307,4,0,333
E00073849,10,1,0,0,12,6,0,1,328,12,6,376
E00073850,1,0,0,1,13,0,0,1,280,12,1,309
E00073851,8,2,0,0,7,7,1,1,219,26,1,272
E00073852,12,1,0,0,6,0,15,0,247,35,5,321
E00073853,10,0,0,0,14,6,5,0,282,11,10,338
E00073854,14,1,0,0,7,6,8,7,251,17,5,316
E00073855,4,0,0,0,10,6,12,4,194,8,8,246
E00073856,8,1,0,0,13,6,5,4,261,34,0,332
E00073857,20,1,0,1,11,4,19,9,306,24,6,401
E00073858,10,0,0,0,7,5,9,1,266,18,0,316
E00073859,31,2,0,1,6,18,27,4,441,49,5,584
E00073860,19,0,0,1,5,0,5,0,132,14,3,179
E00073861,12,1,0,4,17,17,15,5,286,14,9,380
E00073862,26,0,0,1,15,14,19,11,435,19,9,549
E00073864,13,1,0,4,16,14,18,1,429,20,8,524
E00073865,7,0,0,1,7,0,0,0,311,10,3,339
E00073866,7,2,0,0,10,5,8,1,285,16,3,337
E00073867,11,0,0,2,11,5,0,1,250,24,9,313
E00073868,8,1,0,0,10,0,5,0,266,4,1,295
E00073869,9,0,0,0,11,4,10,3,265,16,7,325
E00073870,22,4,0,0,3,0,4,3,309,29,3,377
E00073871,23,1,0,0,4,4,10,7,248,12,8,317
E00073872,0,1,0,0,9,16,9,2,309,16,12,374
E00073873,22,0,0,1,10,12,10,2,290,45,0,392
E00073874,26,1,0,0,2,0,15,0,311,36,4,395
E00073875,14,0,0,0,11,0,7,3,338,14,13,400
E00073876,7,1,0,0,10,9,5,5,297,39,4,377
E00073877,10,0,1,0,14,17,26,6,259,30,13,376
E00073878,9,0,0,0,3,7,10,3,235,27,5,299
E00073879,14,1,0,0,17,15,3,4,326,29,5,414
E00073880,12,2,0,0,17,7,7,0,301,36,7,389
E00073881,11,3,0,2,15,9,18,2,288,44,16,408
E00073882,24,0,0,0,9,6,6,2,254,31,10,342
E00073883,17,0,0,2,1,5,8,9,305,25,9,381
E00073884,9,1,0,0,6,15,4,1,218,33,8,295
E00073885,7,0,1,0,2,0,8,0,283,19,7,327
E00073886,4,1,0,0,18,18,19,0,262,14,7,343
E00073887,15,1,0,1,7,34,14,6,295,59,4,436
E00073888,35,1,1,0,9,11,8,6,275,40,0,386
E00073889,9,0,0,0,9,12,6,0,246,25,5,312
E00073890,6,0,0,0,8,15,11,5,284,14,5,348
E00073891,11,0,0,0,11,15,34,1,249,50,13,384
E00073892,5,0,0,0,15,4,12,1,258,14,9,318
E00073893,5,3,0,0,15,1,5,1,344,7,5,386
E00073894,4,4,0,0,19,0,2,0,352,6,5,392
E00073895,6,0,0,0,13,2,5,5,236,24,6,297
E00073896,16,1,0,0,11,0,8,8,273,21,10,348
E00073897,9,0,0,0,17,6,13,6,260,11,9,331
E00073898,19,0,0,0,18,10,7,1,302,30,6,393
E00073899,6,0,0,1,15,12,3,0,298,38,7,380
E00073900,9,0,0,0,16,0,4,3,306,15,8,361
E00073901,7,1,0,2,18,14,18,0,324,8,13,405
E00073902,6,0,0,0,11,1,10,2,262,18,6,316
E00073904,16,1,1,0,28,8,19,6,301,28,9,417
E00073905,11,4,1,1,22,19,18,1,462,30,16,585
E00073906,10,0,0,3,11,0,7,8,292,7,3,341
E00073907,1,1,0,3,15,0,4,2,317,13,5,361
E00073908,18,0,0,0,10,0,22,1,226,28,7,312
E00073909,9,1,0,0,5,2,11,2,235,20,6,291
E00073910,10,1,0,0,12,0,14,2,202,20,11,272
E00073911,8,8,0,0,8,1,5,0,270,8,5,313
E00073912,8,3,0,0,29,7,13,4,311,18,15,408
E00073913,10,3,0,0,12,0,7,3,279,35,7,356
E00073914,4,0,1,1,2,0,3,3,335,14,6,369
E00073915,9,0,1,0,19,5,8,3,423,18,14,500
E00073916,7,0,0,0,2,0,3,2,299,10,10,333
E00073917,5,5,0,0,20,0,5,0,321,7,2,365
E00073918,10,0,0,1,7,4,5,3,288,13,5,336
E00073919,9,1,1,1,12,8,18,0,315,35,8,408
E00073921,15,0,0,1,18,0,2,0,189,27,4,256
E00073922,3,0,0,1,13,8,16,1,279,9,5,335
E00073923,9,0,0,0,21,2,7,4,287,25,6,361
E00073925,12,1,0,2,23,5,22,1,300,15,7,388
E00073926,14,0,3,0,13,23,10,1,313,34,6,417
E00073927,0,0,0,1,18,0,6,3,284,37,0,349
E00073928,8,0,0,0,23,8,12,1,299,21,9,381
E00073929,5,0,0,0,12,0,15,0,241,7,6,286
E00073930,7,0,0,1,12,0,13,1,260,4,7,305
E00073931,9,1,0,0,15,2,3,3,253,0,5,291
E00073932,0,0,0,0,6,0,5,2,296,8,3,320
E00073933,9,0,0,0,3,0,7,0,209,12,4,244
E00073934,3,3,0,0,5,1,8,0,235,15,1,271
E00073935,3,0,0,1,7,1,6,3,308,3,4,336
E00073936,11,1,0,0,4,0,1,0,245,8,6,276
E00073937,3,0,0,3,7,8,29,0,297,7,6,360
E00073938,5,0,0,0,3,3,14,1,252,4,0,282
E00073939,19,2,0,0,3,9,35,2,309,6,0,385
E00073940,3,1,0,1,11,2,22,3,188,0,0,231
E00073941,12,0,1,0,9,2,24,4,297,11,0,360
E00073942,17,0,0,0,4,1,24,0,290,6,0,342
E00073943,3,0,0,0,14,12,33,2,293,5,0,362
E00073944,10,0,0,0,2,13,18,0,245,5,1,294
E00073945,13,4,0,0,12,2,33,1,257,18,1,341
E00073946,9,0,2,3,9,10,21,3,308,9,4,378
E00073947,5,0,0,1,4,3,25,0,261,0,7,306
E00073948,7,1,0,2,1,5,31,4,233,3,6,293
E00073949,4,2,0,0,7,1,37,5,188,0,1,245
E00073950,10,0,1,0,5,0,29,2,284,8,5,344
E00073951,2,0,0,1,4,3,22,0,237,8,1,278
E00073952,8,0,0,0,7,3,5,0,205,5,11,244
E00073953,7,0,0,0,3,0,25,0,214,9,1,259
E00073954,12,0,0,0,7,0,18,0,230,8,1,276
E00073955,4,5,0,0,6,6,2,1,331,4,4,363
E00073956,17,0,0,1,6,1,3,0,265,16,2,311
E00073957,8,1,0,0,8,0,10,1,246,11,3,288
E00073958,5,1,0,0,8,2,2,0,299,3,0,320
E00073959,4,0,0,0,10,0,13,0,331,9,5,372
E00073960,7,0,0,0,8,1,4,5,265,5,3,298
E00073961,14,0,0,3,6,10,3,0,309,4,0,349
E00073962,8,3,0,0,4,3,7,1,271,14,1,312
E00073963,11,1,0,0,12,0,4,5,331,15,2,381
E00073964,9,0,0,0,7,3,9,0,357,4,0,389
E00073965,7,0,0,0,5,0,14,5,284,10,4,329
E00073966,3,0,0,0,8,1,2,0,274,10,0,298
E00073967,5,3,0,0,10,0,5,0,287,5,8,323
E00073968,5,1,0,0,7,0,4,2,311,4,5,339
E00073969,4,6,0,1,5,23,14,1,245,15,0,314
E00073970,1,3,0,0,10,0,3,0,301,18,4,340
E00073971,1,0,0,0,16,0,1,2,320,8,5,353
E00073972,10,5,0,0,14,3,0,15,290,9,3,349
E00073973,10,5,0,0,7,3,12,2,304,33,15,391
E00073974,3,1,0,0,9,2,4,0,414,16,4,453
E00073975,5,3,1,0,13,1,1,1,277,3,8,313
E00073976,0,1,0,1,5,4,2,2,268,12,9,304
E00073977,6,1,0,0,14,2,2,3,374,3,4,409
E00073978,8,2,0,3,5,1,10,4,297,5,0,335
E00073979,6,5,0,0,11,0,0,1,274,5,0,302
E00073980,3,0,0,0,15,12,1,1,283,6,9,330
E00073981,10,1,0,0,5,5,8,1,275,10,0,315
E00073982,8,1,0,0,2,0,10,0,239,25,10,295
E00073983,3,0,0,0,6,0,3,0,347,10,0,369
E00073984,4,4,0,0,8,0,5,0,372,4,0,397
E00073985,8,0,0,1,6,7,9,2,278,10,1,322
E00073986,0,0,0,0,13,2,10,1,289,2,0,317
E00073987,9,0,0,0,6,7,15,0,283,26,10,356
E00073988,6,0,0,0,5,0,3,0,288,20,5,327
E00073989,8,1,0,0,7,12,3,3,357,8,1,400
E00073990,11,1,0,2,5,4,11,0,319,2,14,369
E00073991,4,1,0,0,6,0,15,3,365,19,4,417
E00073992,4,0,0,0,6,9,6,1,302,11,4,343
E00073993,23,0,1,0,7,5,4,2,295,20,8,365
E00073994,4,0,0,0,12,0,9,0,312,12,2,351
E00073995,0,0,0,0,7,5,18,1,293,13,0,337
E00073996,11,0,0,0,7,3,17,1,286,13,0,338
E00073997,4,1,0,1,7,0,3,0,204,6,0,226
E00073998,7,1,0,0,8,1,28,2,351,12,4,414
E00073999,20,0,0,0,18,1,4,0,345,8,0,396
E00074000,48,0,0,0,21,0,18,1,246,9,3,346
E00074001,29,0,0,0,19,4,10,0,231,35,9,337
E00074002,24,1,0,0,20,4,10,3,192,35,11,300
E00074003,48,1,0,3,26,4,42,9,356,13,11,513
E00074006,93,0,0,0,18,3,10,1,285,22,3,435
E00074007,15,1,0,1,27,11,11,5,122,33,9,235
E00074008,22,1,0,0,15,4,12,2,129,20,4,209
E00074009,60,0,0,0,37,0,11,1,268,23,9,409
E00074010,111,0,0,0,15,1,10,2,334,27,8,508
E00074011,38,0,0,0,19,13,8,10,152,24,30,294
E00074012,36,4,0,1,0,5,7,3,146,40,17,259
E00074013,19,0,1,0,15,7,5,4,258,53,10,372
E00074014,23,2,0,0,23,0,7,3,283,29,19,389
E00074016,109,0,0,0,15,0,16,2,250,31,10,433
E00074018,39,1,0,0,43,3,10,5,374,45,13,533
E00074019,120,0,0,0,13,2,2,1,213,48,16,415
E00074020,36,5,0,1,25,17,5,9,298,31,31,458
E00074021,59,0,2,0,24,2,2,7,216,70,15,397
E00074022,44,0,0,1,16,2,27,7,314,33,35,479
E00074023,89,0,3,0,27,12,23,7,330,70,20,581
E00074024,43,0,0,1,36,10,12,0,243,70,17,432
E00074025,63,0,0,0,36,21,11,2,241,65,33,472
E00074026,40,5,0,1,40,7,20,4,302,52,35,506
E00074027,58,0,0,1,15,0,10,1,219,19,24,347
E00074028,131,0,2,0,20,9,3,4,377,21,5,572
E00074029,152,0,0,0,16,1,8,3,334,49,16,579
E00074030,49,0,0,0,4,0,9,1,111,11,22,207
E00074032,126,0,0,0,16,1,1,3,211,24,17,399
E00074033,127,0,0,1,17,1,13,3,271,23,11,467
E00074034,55,0,0,1,14,4,3,1,181,53,25,337
E00074037,93,0,0,0,12,0,3,2,190,12,10,322
E00074038,80,0,0,0,7,0,16,5,240,16,9,373
E00074041,67,0,0,0,20,1,1,2,223,20,11,345
E00074042,73,0,0,0,9,2,6,0,193,18,5,306
E00074045,12,0,0,0,12,5,5,2,262,34,0,332
E00074046,23,0,1,0,13,2,8,1,384,42,18,492
E00074047,27,1,0,0,11,0,0,1,283,12,3,338
E00074048,5,0,0,0,18,1,5,3,277,13,7,329
E00074049,16,0,0,1,5,2,14,0,300,11,10,359
E00074050,7,0,0,0,8,0,5,4,172,10,11,217
E00074051,6,1,0,2,24,2,14,3,321,11,10,394
E00074052,8,2,0,2,10,0,6,0,284,7,8,327
E00074053,15,0,0,1,12,2,16,2,302,35,15,400
E00074054,45,0,0,0,11,4,0,0,320,33,11,424
E00074055,19,0,0,0,17,14,10,3,368,71,29,531
E00074056,18,0,1,2,9,0,16,0,270,36,19,371
E00074057,3,1,0,0,17,0,3,1,325,56,25,431
E00074058,23,0,0,0,19,0,16,4,363,26,9,460
E00074060,28,3,0,0,27,0,8,1,310,43,12,432
E00074061,21,2,0,4,24,3,9,5,313,15,13,409
E00074062,24,1,0,3,19,8,15,4,242,21,13,350
E00074063,13,1,1,0,9,2,13,1,250,36,11,337
E00074064,6,2,0,1,4,1,17,4,253,16,3,307
E00074065,8,1,0,1,8,9,27,4,201,31,6,296
E00074066,13,0,0,0,12,0,7,0,271,8,12,323
E00074067,5,1,0,0,10,3,7,5,230,20,9,290
E00074068,13,0,0,0,13,4,20,0,163,11,8,232
E00074069,13,1,0,1,6,7,3,1,266,13,8,319
E00074070,11,1,0,0,6,0,15,2,261,15,12,323
E00074071,11,1,0,0,3,2,5,0,129,10,17,178
E00074072,11,0,0,0,15,3,20,3,314,22,6,394
E00074073,14,1,0,0,7,0,11,0,281,22,7,343
E00074074,7,2,0,0,9,0,11,2,282,19,10,342
E00074075,5,3,0,3,13,6,6,3,252,24,4,319
E00074076,19,1,0,0,10,5,11,0,257,16,6,325
E00074077,7,3,0,0,8,8,29,0,303,30,6,394
E00074078,5,0,0,2,19,2,9,1,285,5,5,333
E00074079,10,0,0,3,20,0,0,0,281,6,11,331
E00074080,6,2,0,1,15,0,0,1,248,15,5,293
E00074081,7,7,0,1,32,3,5,3,377,50,10,495
E00074082,11,0,2,0,13,1,3,4,241,4,8,287
E00074083,9,0,0,0,22,1,5,1,266,14,12,330
E00074084,10,1,0,1,33,0,3,0,205,10,6,269
E00074085,3,1,0,1,15,2,6,1,223,3,0,255
E00074086,7,1,2,1,10,2,5,1,239,5,7,280
E00074087,3,1,0,3,28,1,7,2,321,8,4,378
E00074088,13,8,0,0,30,4,9,5,459,15,12,555
E00074089,12,4,1,0,24,2,5,1,272,12,9,342
E00074090,6,0,1,2,13,2,7,0,264,12,12,319
E00074091,6,0,0,0,9,0,4,0,246,13,7,285
E00074092,6,0,0,0,17,0,3,1,216,2,3,248
E00074093,1,2,0,1,17,0,6,0,389,8,0,424
E00074094,5,1,0,2,16,0,2,0,311,13,9,359
E00074095,4,0,0,0,10,8,1,4,330,15,6,378
E00074096,1,0,0,0,15,2,5,12,292,11,10,348
E00074097,6,5,0,2,14,0,1,2,323,10,7,370
E00074098,4,0,0,0,13,0,3,0,296,5,0,321
E00074099,4,2,0,0,25,0,1,3,235,13,5,288
E00074100,4,5,0,0,14,0,0,1,302,15,9,350
E00074101,9,1,0,0,18,0,11,1,275,8,4,327
E00074102,5,0,0,0,13,0,0,0,266,5,4,293
E00074103,11,1,0,0,17,1,4,8,285,7,15,349
E00074104,13,0,0,1,28,0,4,2,264,16,2,330
E00074105,8,3,4,0,22,0,2,2,321,16,14,392
E00074106,0,2,0,1,7,0,2,0,309,3,5,329
E00074107,7,1,0,0,16,0,2,4,187,11,10,238
E00074108,5,2,0,3,18,0,7,1,315,12,3,366
E00074109,7,6,1,2,34,0,12,4,352,26,6,450
E00074110,5,0,0,0,19,4,4,3,247,5,24,311
E00074111,4,1,0,0,8,0,8,0,256,3,4,284
E00074112,7,8,0,0,24,0,5,3,278,15,11,351
E00074113,5,0,0,0,14,0,4,1,265,9,8,306
E00074114,4,0,0,1,26,0,8,1,295,8,4,347
E00074115,8,2,0,0,13,8,24,4,307,21,0,387
E00074116,16,0,0,0,10,9,20,3,364,20,11,453
