Row Labels,1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,TotalBed
E00178104,1,6,86,11,104
E00178105,22,45,11,1,79
E00178106,4,53,27,14,98
E00178107,8,14,28,24,74
E00178108,8,98,70,39,215
E00178109,47,62,3,1,113
E00178110,20,30,34,11,95
E00178111,16,15,11,4,46
E00178112,83,126,28,0,237
E00178113,16,5,67,15,103
E00178114,52,69,8,1,130
E00178115,44,36,3,0,83
E00178116,23,12,21,1,57
E00178117,99,118,28,0,245
E00178118,4,76,58,14,152
E00178119,1,33,78,9,121
