Row Labels,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations,TotalOcT
E00174284,14,99,25,15,0,5,6,0,11,175
E00174286,21,66,25,16,16,9,12,3,14,182
E00174287,12,55,30,12,7,14,7,0,11,148
E00174288,8,36,25,16,16,12,11,12,18,154
E00174289,14,43,34,14,20,5,12,4,20,166
E00174290,5,12,10,6,2,12,10,9,32,98
E00174291,25,75,45,17,19,14,14,7,20,236
E00174292,18,72,59,20,8,14,10,8,17,226
E00174293,34,77,39,8,13,9,27,4,28,239
E00174294,16,69,11,14,8,7,10,6,13,154
E00174295,17,67,24,14,6,11,19,13,30,201
E00174296,16,90,34,15,6,15,21,4,17,218
E00174298,7,9,25,4,3,5,13,5,12,83
E00174299,23,98,41,13,4,14,16,8,16,233
E00174300,12,79,41,16,1,10,8,0,11,178
E00174302,7,34,17,5,6,10,5,4,7,95
E00174303,21,62,51,18,7,4,10,1,4,178
E00174304,12,37,15,10,6,7,4,0,10,101
E00174305,4,13,5,0,7,4,11,10,27,81
E00174306,6,16,4,6,6,14,14,8,24,98
E00174307,11,50,19,8,7,7,8,3,8,121
E00174309,25,41,19,5,4,5,1,2,2,104
E00174311,17,63,27,10,6,4,3,0,5,135
E00174312,6,52,16,12,2,9,17,5,15,134
E00174313,10,53,21,10,4,6,10,5,8,127
E00174314,11,12,4,4,0,5,4,3,9,52
E00174315,31,81,34,12,11,18,7,6,15,215
E00174316,10,47,18,6,8,8,12,0,17,126
E00174317,9,49,14,6,5,3,4,1,7,98
E00174318,8,34,13,7,6,5,3,3,4,83
E00174319,6,12,4,4,4,7,7,8,23,75
E00174320,17,29,8,14,10,22,13,12,16,141
E00174321,3,9,8,3,6,13,27,5,31,105
E00174322,6,4,7,3,0,11,5,8,17,61
E00174323,6,16,5,3,6,4,4,1,14,59
E00174324,9,50,19,7,6,17,21,0,12,141
E00174325,26,116,46,13,9,7,26,5,8,256
E00174326,9,30,25,20,17,23,21,19,27,191
E00174327,10,53,31,26,22,21,15,12,25,215
E00174328,1,45,19,17,7,8,10,4,17,128
E00174329,9,46,24,14,10,19,18,9,25,174
E00174331,12,22,7,7,1,3,2,1,2,57
E00174332,14,73,33,6,13,10,8,4,9,170
E00174333,14,85,27,11,7,7,11,0,8,170
E00178043,17,49,33,8,6,6,10,4,15,148
E00178044,10,81,27,8,4,10,14,5,15,174
E00178045,6,60,14,14,6,10,9,6,11,136
E00178046,27,91,53,19,9,22,56,8,38,323
E00178047,21,51,24,12,6,4,4,4,7,133
E00178048,8,66,24,6,5,3,0,3,2,117
E00178049,25,67,39,14,2,11,11,5,7,181
E00178050,1,10,5,6,3,26,7,21,37,116
E00178051,0,12,12,7,5,11,8,14,16,85
E00178052,7,65,35,15,10,7,19,6,19,183
E00178053,41,141,68,20,9,14,6,3,3,305
E00178054,10,42,24,12,7,14,7,5,17,138
E00178055,7,37,17,6,2,3,8,1,4,85
E00178056,15,42,33,18,9,12,28,6,28,191
E00178057,30,110,47,25,17,11,9,10,14,273
E00178058,11,40,17,6,0,3,0,0,6,83
E00178059,18,97,32,16,13,12,6,9,9,212
E00178060,37,137,54,11,2,6,5,6,6,264
E00178061,25,79,58,25,11,14,15,9,8,244
E00178062,11,88,26,16,16,21,19,12,35,244
E00178063,3,10,4,4,0,1,1,0,5,28
E00178064,14,75,19,7,2,12,24,9,31,193
E00178065,13,83,22,15,7,8,0,4,8,160
E00178066,8,71,28,12,5,11,12,7,17,171
E00178067,8,28,6,9,11,9,6,13,13,103
E00178068,6,19,14,6,6,8,9,4,17,89
E00178069,45,157,67,21,7,12,8,3,7,327
E00178070,11,19,14,27,17,9,10,11,11,129
E00178071,8,60,13,8,10,12,12,3,14,140
E00178072,18,103,39,5,5,6,9,2,4,191
E00178073,15,84,25,8,7,5,6,3,1,154
E00178074,33,91,28,9,9,7,6,1,14,198
E00178075,11,31,18,5,5,0,0,0,3,73
E00178076,30,111,43,9,3,8,3,1,9,217
E00178077,19,19,8,0,2,5,4,2,5,64
E00178078,0,4,1,4,2,5,2,12,18,48
E00178079,58,144,53,12,9,12,10,6,5,309
E00178080,5,12,10,9,8,29,17,22,57,169
E00178081,13,15,12,9,2,4,6,0,9,70
E00178082,19,49,34,14,12,7,12,5,21,173
E00178083,21,71,35,13,4,17,11,6,13,191
E00178084,58,138,86,43,30,35,41,12,28,471
E00178085,6,15,8,9,11,7,8,3,9,76
E00178086,39,84,50,20,0,9,12,6,3,223
E00178087,20,43,24,6,14,28,22,12,35,204
E00178088,9,52,25,6,1,1,3,1,6,104
E00178089,5,8,10,0,5,27,7,27,46,135
E00178090,10,36,18,10,5,8,5,0,10,102
E00178091,14,35,21,11,14,23,11,12,19,160
E00178092,12,53,35,25,20,18,16,20,27,226
E00178093,10,70,27,6,6,1,3,1,2,126
E00178094,8,19,15,9,15,10,14,3,9,102
E00178095,10,25,6,13,3,5,14,4,4,84
E00178096,15,29,15,6,11,5,8,2,10,101
E00178097,18,40,13,3,2,0,5,1,4,86
E00178098,13,49,21,13,11,8,9,8,10,142
E00178099,31,39,22,17,9,15,5,1,6,145
E00178100,21,74,22,8,4,6,4,1,8,148
E00178101,13,88,43,12,5,4,11,1,5,182
E00178102,9,21,15,6,21,24,17,18,34,165
E00178103,23,97,38,16,11,7,3,5,3,203
E00178104,10,22,11,6,18,17,18,10,39,151
E00178105,7,38,19,4,3,3,5,0,2,81
E00178106,37,72,15,7,7,1,6,0,11,156
E00178107,15,46,13,12,3,10,7,5,5,116
E00178108,32,86,47,27,11,30,18,10,17,278
E00178109,20,68,24,5,3,1,1,1,2,125
E00178110,19,40,29,12,12,9,5,8,5,139
E00178111,4,35,11,1,3,2,2,4,1,63
E00178112,34,177,44,13,1,6,5,9,8,297
E00178113,6,27,11,10,12,17,12,12,28,135
E00178114,14,84,36,12,10,9,15,4,25,209
E00178115,10,39,31,9,2,7,0,0,4,102
E00178116,0,9,2,2,3,5,4,10,19,54
E00178117,29,123,54,35,21,19,15,11,20,327
E00178118,16,63,34,31,24,19,19,20,17,243
E00178119,7,14,16,18,24,18,11,15,21,144
