Row Labels,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations,TotalOcT
E00073354,8,16,18,16,18,20,16,21,25,158
E00073355,10,25,27,19,28,16,10,23,26,184
E00073356,28,52,32,16,23,14,10,9,18,202
E00073357,24,29,36,10,17,11,13,11,12,163
E00073358,16,32,19,21,22,17,13,15,15,170
E00073359,15,27,19,24,29,10,14,13,14,165
E00073360,9,37,12,18,28,12,14,10,16,156
E00073361,10,35,32,13,12,9,9,7,7,134
E00073362,27,55,44,32,20,16,14,16,18,242
E00073363,13,33,17,17,27,27,15,10,23,182
E00073364,12,19,16,11,23,15,15,12,23,146
E00073365,15,23,18,18,27,19,12,16,21,169
E00073366,29,64,40,18,27,13,16,11,16,234
E00073367,18,26,27,12,23,18,16,16,11,167
E00073368,8,25,24,22,25,11,18,13,13,159
E00073369,10,16,21,15,21,20,18,18,22,161
E00073370,4,8,11,9,8,9,8,11,17,85
E00073371,7,15,8,11,11,9,5,7,13,86
E00073372,0,3,6,1,13,15,5,10,29,82
E00073373,20,44,23,8,14,8,11,8,25,161
E00073374,25,76,35,17,22,16,7,5,10,213
E00073375,13,29,40,20,14,8,14,13,24,175
E00073376,15,21,19,15,16,18,11,11,14,140
E00073377,28,57,25,14,11,12,10,8,8,173
E00073378,21,61,30,22,14,11,14,4,9,186
E00073379,27,30,28,29,31,10,13,8,9,185
E00073380,28,29,19,23,22,22,24,16,10,193
E00073381,21,45,22,25,33,26,17,14,22,225
E00073382,18,45,23,26,30,25,25,17,19,228
E00073383,4,3,11,10,15,17,11,10,16,97
E00073384,21,57,44,38,30,20,8,11,20,249
E00073385,9,10,21,12,24,14,15,19,14,138
E00073386,15,45,34,29,19,21,19,25,16,223
E00073387,2,10,19,13,18,15,12,18,16,123
E00073388,24,34,19,26,18,17,14,6,17,175
E00073389,19,46,36,19,15,23,22,12,24,216
E00073390,21,39,29,26,23,14,12,14,9,187
E00073391,15,33,26,29,27,15,12,9,15,181
E00073392,19,46,32,19,29,16,18,10,25,214
E00073393,15,42,32,16,15,17,17,12,11,177
E00073394,36,67,42,44,24,9,14,8,12,256
E00073395,5,11,15,15,16,20,14,12,25,133
E00073397,26,49,28,10,11,12,15,9,8,168
E00073398,19,68,24,24,11,8,10,10,13,187
E00073399,11,43,26,18,13,14,12,17,18,172
E00073400,24,62,42,19,13,11,14,1,7,193
E00073401,16,70,32,18,12,3,8,9,5,173
E00073402,20,48,35,14,16,10,14,6,14,177
E00073403,25,52,37,21,16,8,13,12,23,207
E00073404,19,82,45,10,10,7,4,5,8,190
E00073405,26,50,34,12,26,13,17,14,15,207
E00073406,23,43,31,16,17,18,10,8,12,178
E00073407,18,52,40,16,16,17,12,11,22,204
E00073408,39,56,30,23,14,3,11,5,7,188
E00073409,28,43,25,10,20,7,11,9,8,161
E00073410,20,53,35,27,8,12,10,14,5,184
E00073411,17,47,34,19,19,13,10,7,15,181
E00073412,28,59,39,19,24,19,15,8,13,224
E00073413,15,33,22,18,13,13,8,8,10,140
E00073414,10,31,21,11,9,19,22,6,29,158
E00073415,24,51,23,7,9,7,5,2,4,132
E00073416,22,79,34,8,7,11,4,4,11,180
E00073419,23,78,44,15,7,16,17,7,5,212
E00073420,9,20,13,5,2,4,1,4,5,63
E00073421,9,28,17,10,5,20,11,5,14,119
E00073422,4,16,11,4,8,4,8,10,25,90
E00073423,16,51,15,3,4,5,5,5,9,113
E00073424,0,23,18,1,11,15,3,14,22,107
E00073425,11,59,26,15,4,6,6,3,13,143
E00073426,10,31,20,10,3,14,12,1,11,112
E00073431,20,86,37,11,4,18,19,6,27,228
E00073432,10,23,7,5,0,3,5,2,9,64
E00073433,21,56,35,12,11,9,18,0,32,194
E00073437,18,61,19,15,5,4,14,5,8,149
E00073439,32,106,40,12,11,4,4,1,5,215
E00073440,19,54,33,10,8,5,7,7,9,152
E00073441,4,19,11,6,8,15,10,7,24,104
E00073442,23,84,34,9,10,18,8,8,6,200
E00073443,25,76,23,6,7,6,7,4,9,163
E00073444,15,58,36,1,10,4,7,2,10,143
E00073445,13,71,17,6,1,9,12,1,5,135
E00073446,16,100,29,12,11,14,9,1,13,205
E00073447,14,40,12,11,3,13,10,6,13,122
E00073448,17,65,26,7,4,5,9,4,11,148
E00073449,26,70,20,9,5,4,0,0,1,135
E00073450,26,73,35,14,0,8,3,5,7,171
E00073451,29,69,44,12,4,0,7,0,8,173
E00073452,24,95,26,9,8,9,6,0,7,184
E00073453,21,62,23,13,7,4,8,6,8,152
E00073454,25,80,54,9,4,5,8,1,4,190
E00073455,34,62,38,9,3,9,10,3,11,179
E00073456,22,86,26,11,4,9,4,0,4,166
E00073457,27,49,29,11,1,5,5,0,2,129
E00073458,22,87,30,14,10,10,7,1,10,191
E00073461,13,53,32,5,12,7,1,3,8,134
E00073462,36,85,36,9,3,9,10,1,9,198
E00073463,10,38,27,16,13,8,7,4,13,136
E00073464,27,86,35,10,6,8,10,0,10,192
E00073465,26,81,45,14,8,17,8,0,11,210
E00073466,22,86,42,14,7,9,18,4,17,219
E00073467,25,85,25,10,13,7,11,2,6,184
E00073468,31,71,52,13,12,8,7,3,13,210
E00073469,12,46,25,9,7,8,2,5,9,123
E00073470,41,93,30,15,5,7,13,3,18,225
E00073471,5,45,18,12,7,11,13,4,12,127
E00073472,20,77,25,8,3,4,6,5,1,149
E00073473,12,33,10,3,4,5,4,0,1,72
E00073474,18,45,21,9,1,1,4,1,2,102
E00073476,20,66,36,9,5,4,2,2,8,152
E00073477,38,52,21,9,5,4,10,1,1,141
E00073478,20,91,27,10,0,10,8,2,5,173
E00073479,30,48,23,4,3,10,8,1,8,135
E00073480,22,56,29,12,4,6,8,0,4,141
E00073481,58,110,53,15,4,3,5,0,11,259
E00073482,33,83,36,9,10,7,20,1,20,219
E00073483,29,74,40,11,8,8,11,1,8,190
E00073484,24,72,30,7,1,3,5,1,2,145
E00073485,14,52,20,10,0,3,10,1,7,117
E00073486,24,67,28,15,15,7,14,10,57,237
E00073487,16,75,31,11,4,8,14,2,10,171
E00073488,13,57,31,11,3,8,13,6,9,151
E00073489,24,70,39,10,4,8,2,0,0,157
E00073490,20,58,20,11,15,5,6,0,9,144
E00073491,21,71,40,7,5,10,18,5,11,188
E00073492,32,80,43,2,2,7,9,2,7,184
E00073493,20,87,37,6,7,5,7,2,10,181
E00073494,16,44,38,11,7,11,13,0,10,150
E00073495,10,52,17,4,7,6,15,2,7,120
E00073496,25,100,34,18,5,5,11,5,16,219
E00073497,21,52,30,7,10,7,8,1,5,141
E00073498,26,61,29,15,3,4,3,1,6,148
E00073499,15,60,23,6,1,9,8,2,8,132
E00073500,25,70,43,12,11,12,10,1,20,204
E00073501,22,75,28,15,5,4,7,3,13,172
E00073502,23,80,41,15,8,10,11,4,6,198
E00073503,28,70,33,7,7,4,5,0,4,158
E00073504,19,55,22,7,5,8,10,5,12,143
E00073505,13,56,17,9,0,3,5,0,6,109
E00073506,26,89,30,10,4,8,6,3,11,187
E00073507,15,32,17,12,5,3,3,3,4,94
E00073508,17,63,33,7,6,8,7,0,5,146
E00073509,19,90,29,11,12,7,5,2,10,185
E00073510,22,69,27,9,8,12,6,1,5,159
E00073511,23,65,27,15,6,5,6,2,15,164
E00073512,29,80,27,6,0,5,15,0,4,166
E00073513,24,86,45,16,9,15,8,1,8,212
E00073514,28,62,27,10,10,7,17,1,15,177
E00073515,34,84,33,10,5,4,11,2,8,191
E00073516,26,84,37,17,6,13,16,6,13,218
E00073517,17,65,26,15,15,12,14,5,11,180
E00073518,19,71,28,13,5,8,7,3,5,159
E00073519,16,90,33,12,3,0,11,0,8,173
E00073520,23,104,36,15,7,8,6,5,11,215
E00073521,18,61,38,14,6,7,10,1,7,162
E00073522,14,69,33,9,4,13,8,5,10,165
E00073523,19,90,35,15,10,7,7,1,6,190
E00073524,18,81,35,8,4,5,7,4,6,168
E00073525,26,95,54,22,6,6,5,3,11,228
E00073526,15,52,25,6,9,10,14,5,13,149
E00073527,15,66,27,7,4,6,8,1,11,145
E00073528,16,69,31,9,9,11,9,2,12,168
E00073529,15,54,18,5,6,5,7,1,10,121
E00073530,15,68,28,11,7,6,17,2,4,158
E00073531,18,90,47,21,12,11,7,3,10,219
E00073532,27,101,53,18,4,9,13,4,17,246
E00073533,26,68,21,5,1,5,6,2,7,141
E00073534,16,66,25,8,6,6,6,1,2,136
E00073535,21,54,24,7,4,7,11,2,5,135
E00073536,13,67,33,15,4,12,6,1,9,160
E00073537,32,100,36,10,9,10,11,3,6,217
E00073538,27,73,28,19,4,8,8,2,4,173
E00073539,20,50,20,4,11,11,4,2,10,132
E00073540,14,53,26,8,5,3,4,1,4,118
E00073541,15,73,36,9,7,9,11,5,7,172
E00073542,20,71,30,8,4,6,11,0,7,157
E00073543,17,68,28,8,10,9,15,2,6,163
E00073544,27,62,24,11,11,5,8,1,12,161
E00073545,14,106,49,14,10,15,12,6,16,242
E00073546,14,61,42,11,7,14,15,0,13,177
E00073547,25,99,28,11,8,10,7,1,8,197
E00073548,9,59,37,18,6,17,19,8,23,196
E00073549,25,99,40,17,6,14,8,3,8,220
E00073550,21,49,31,17,3,11,9,2,7,150
E00073551,14,49,26,12,4,16,9,3,9,142
E00073552,14,58,23,10,9,13,8,2,8,145
E00073553,17,67,32,5,4,6,9,1,9,150
E00073554,20,43,23,9,3,12,6,3,13,132
E00073555,10,84,45,10,11,3,11,1,3,178
E00073556,8,42,25,5,6,8,4,2,12,112
E00073557,24,83,19,9,0,10,11,2,4,162
E00073558,20,82,44,20,7,8,7,0,6,194
E00073559,20,57,56,11,21,7,14,4,17,207
E00073560,11,44,24,17,17,16,13,9,30,181
E00073561,27,66,35,19,23,26,17,10,22,245
E00073562,22,60,45,9,23,13,20,9,28,229
E00073563,20,79,50,11,20,24,12,16,15,247
E00073564,21,54,64,13,22,9,13,4,12,212
E00073565,20,65,27,13,42,18,29,26,68,308
E00073566,9,41,16,7,1,18,12,6,5,115
E00073567,16,43,30,17,9,16,6,11,27,175
E00073568,29,77,40,13,21,15,14,9,11,229
E00073569,34,73,49,15,30,16,18,14,21,270
E00073570,23,69,49,15,16,13,11,9,16,221
E00073571,14,74,43,12,23,20,15,15,17,233
E00073572,17,58,37,16,13,15,10,18,17,201
E00073573,24,85,51,16,26,34,17,21,28,302
E00073574,12,45,34,16,16,18,17,17,21,196
E00073575,39,57,39,21,19,21,15,12,37,260
E00073576,27,57,30,21,20,25,15,12,16,223
E00073577,19,50,36,12,20,9,18,13,25,202
E00073578,27,89,31,6,15,16,9,16,18,227
E00073579,13,25,18,14,16,9,11,5,12,123
E00073580,19,64,39,13,23,18,12,12,26,226
E00073581,23,51,42,12,13,12,15,9,19,196
E00073582,20,78,43,25,20,17,4,5,15,227
E00073583,16,74,44,22,18,17,5,7,14,217
E00073584,11,53,43,15,14,22,17,13,30,218
E00073585,13,64,36,20,25,19,15,12,27,231
E00073586,21,65,24,15,16,13,13,4,17,188
E00073587,24,78,39,14,18,17,12,8,29,239
E00073588,3,9,2,0,8,11,9,9,19,70
E00073589,5,27,17,16,6,10,4,7,7,99
E00073590,37,73,47,26,17,20,14,12,32,278
E00073591,10,41,25,15,10,5,9,9,16,140
E00073592,21,37,34,16,25,14,7,8,16,178
E00073593,22,47,32,12,17,15,10,7,23,185
E00073594,17,59,38,16,16,17,7,8,19,197
E00073595,11,38,39,21,22,19,15,14,26,205
E00073596,21,44,48,11,18,20,9,20,21,212
E00073597,21,74,40,20,20,29,33,16,48,301
E00073598,10,43,32,31,12,16,11,18,30,203
E00073599,10,28,21,10,14,5,10,16,14,128
E00073600,17,28,19,16,12,18,16,7,21,154
E00073601,10,42,25,6,19,13,7,10,14,146
E00073602,20,34,22,16,29,19,10,14,22,186
E00073603,17,38,23,10,17,17,17,18,35,192
E00073604,17,52,31,18,13,28,14,19,17,209
E00073605,9,39,22,8,13,14,9,7,15,136
E00073606,13,55,38,24,20,19,9,14,13,205
E00073607,7,24,26,16,20,16,10,13,20,152
E00073608,12,34,19,12,20,29,5,12,16,159
E00073609,11,33,33,12,19,11,24,9,34,186
E00073611,18,41,36,13,26,23,22,12,26,217
E00073612,9,20,15,12,12,17,12,22,33,152
E00073613,6,32,18,13,13,15,9,10,21,137
E00073614,30,90,48,32,30,29,11,16,36,322
E00073615,23,50,36,22,18,14,18,11,20,212
E00073616,16,38,24,18,14,19,21,10,22,182
E00073617,16,30,14,14,12,15,5,15,11,132
E00073618,21,41,19,11,12,7,14,4,8,137
E00073619,32,48,20,19,14,11,18,16,8,186
E00073620,14,53,28,9,11,9,9,8,16,157
E00073621,26,82,42,20,10,15,6,6,8,215
E00073622,3,35,20,14,11,20,17,8,15,143
E00073623,18,52,29,14,14,19,13,4,15,178
E00073624,5,14,12,4,10,8,16,4,20,93
E00073625,12,45,29,11,9,25,14,8,10,163
E00073626,13,38,22,13,12,10,10,9,14,141
E00073627,23,70,58,15,19,15,24,22,30,276
E00073628,2,13,11,4,3,14,9,7,20,83
E00073629,24,47,39,11,14,19,12,10,24,200
E00073630,25,55,29,23,28,15,21,20,37,253
E00073631,20,45,31,21,6,11,10,9,16,169
E00073632,27,66,30,14,16,17,21,8,14,213
E00073633,13,41,24,15,23,10,6,8,15,155
E00073634,21,49,40,22,20,22,31,13,38,256
E00073635,24,52,36,14,13,17,13,7,14,190
E00073636,8,8,11,4,18,26,20,19,38,152
E00073637,23,14,2,14,26,18,29,11,48,185
E00073638,14,19,13,17,24,11,10,19,26,153
E00073639,13,26,31,24,23,27,18,11,25,198
E00073640,12,23,15,11,22,19,19,8,34,163
E00073641,8,17,11,11,28,26,20,11,31,163
E00073642,13,12,14,12,25,33,8,20,26,163
E00073643,8,18,17,18,19,20,19,9,30,158
E00073644,15,15,11,12,26,24,12,10,29,154
E00073645,5,9,8,5,14,17,12,10,38,118
E00073646,12,24,12,15,24,46,20,33,49,235
E00073647,15,25,15,23,24,33,17,13,28,193
E00073648,5,12,9,8,22,29,13,15,39,152
E00073649,20,18,11,6,16,19,9,18,29,146
E00073650,10,13,8,8,17,21,16,18,29,140
E00073651,24,41,20,18,34,32,18,16,30,233
E00073652,3,15,5,10,13,17,14,11,41,129
E00073653,5,5,6,0,11,9,5,15,13,69
E00073654,9,13,3,17,23,14,19,16,29,143
E00073655,17,18,7,12,22,22,20,21,42,181
E00073656,5,17,16,11,22,28,19,18,38,174
E00073657,5,18,8,12,19,11,10,12,21,116
E00073658,6,8,11,6,21,13,19,15,30,129
E00073659,10,11,13,15,17,21,20,23,27,157
E00073660,14,17,10,14,20,16,13,15,28,147
E00073662,4,11,11,15,10,25,11,15,32,134
E00073663,4,10,9,8,22,11,16,16,24,120
E00073664,6,6,4,3,11,12,6,8,20,76
E00073665,5,20,13,13,19,8,17,11,32,138
E00073666,29,67,41,21,19,10,14,8,13,222
E00073667,21,38,33,31,27,18,19,17,40,244
E00073668,6,14,10,15,23,16,19,16,31,150
E00073669,10,27,17,9,13,16,11,8,32,143
E00073670,7,15,12,6,16,13,12,8,23,112
E00073671,13,13,17,17,16,22,21,17,33,169
E00073672,16,59,29,21,14,23,15,7,10,194
E00073673,9,20,11,13,13,9,5,8,11,99
E00073674,13,41,22,19,9,17,15,6,18,160
E00073675,20,42,19,14,13,8,11,4,7,138
E00073676,16,39,28,21,18,14,20,21,25,202
E00073677,8,13,14,7,9,17,11,10,19,108
E00073678,1,9,8,7,10,15,14,17,24,105
E00073679,5,18,7,9,2,10,7,11,7,76
E00073680,3,7,5,11,6,15,12,12,14,85
E00073681,15,31,21,8,15,28,12,0,16,146
E00073682,28,19,7,10,22,18,15,15,22,156
E00073683,21,38,34,12,11,13,13,8,22,172
E00073684,14,45,16,7,12,5,15,22,23,159
E00073685,14,47,16,14,13,20,15,14,20,173
E00073688,11,21,9,10,18,22,19,14,27,151
E00073689,19,45,35,16,18,14,3,13,19,182
E00073690,13,44,22,9,22,20,19,14,17,180
E00073691,20,52,28,16,13,12,8,7,19,175
E00073692,25,53,24,25,14,15,16,14,15,201
E00073693,24,58,35,21,13,17,21,18,17,224
E00073695,14,40,13,16,12,11,13,10,13,142
E00073696,20,26,12,7,8,20,14,9,12,128
E00073697,15,47,25,14,23,20,15,11,23,193
E00073698,13,54,34,18,30,23,24,12,29,237
E00073699,14,35,22,11,15,12,22,12,26,169
E00073700,7,26,14,5,9,12,4,4,10,91
E00073701,11,30,17,7,13,15,4,6,16,119
E00073702,12,36,23,16,9,13,8,11,13,141
E00073703,15,18,9,8,7,11,12,11,20,111
E00073704,16,25,12,15,10,5,6,5,6,100
E00073705,13,34,22,16,17,6,10,5,8,131
E00073706,15,25,21,11,18,27,17,15,24,173
E00073707,16,32,11,13,13,13,7,14,9,128
E00073708,13,30,11,12,11,8,9,9,10,113
E00073709,8,8,7,14,22,19,25,11,32,146
E00073710,6,8,11,12,26,14,11,18,18,124
E00073711,17,39,22,25,36,12,22,12,21,206
E00073712,1,8,4,8,16,13,22,8,18,98
E00073713,6,19,20,12,18,18,16,18,13,140
E00073714,9,9,10,16,20,9,8,9,17,107
E00073715,8,20,14,15,23,22,21,19,30,172
E00073716,0,0,7,8,5,10,14,10,19,73
E00073717,12,11,15,9,15,18,10,10,15,115
E00073718,7,27,16,14,34,21,13,10,16,158
E00073719,18,23,19,14,24,17,14,16,30,175
E00073720,9,11,13,16,25,23,16,16,20,149
E00073721,8,9,10,9,20,9,9,7,24,105
E00073722,7,13,18,15,35,18,26,22,40,194
E00073723,12,16,12,18,25,17,28,16,44,188
E00073724,8,24,7,21,21,24,20,21,29,175
E00073725,2,10,11,20,15,22,17,11,26,134
E00073726,7,5,7,14,12,8,16,12,23,104
E00073727,8,15,10,11,13,12,13,9,21,112
E00073728,7,6,11,12,20,18,25,17,27,143
E00073729,11,9,10,4,19,15,9,17,24,118
E00073730,10,18,12,15,20,14,17,6,18,130
E00073731,2,13,5,11,20,11,17,16,20,115
E00073732,4,15,8,7,24,8,8,14,14,102
E00073733,4,11,8,17,20,7,16,13,19,115
E00073734,12,20,14,21,25,14,13,8,19,146
E00073735,22,41,20,11,22,9,9,9,10,153
E00073736,18,28,20,24,22,15,18,9,9,163
E00073737,10,21,30,21,32,25,10,15,12,176
E00073738,23,23,15,17,27,14,17,9,7,152
E00073739,23,30,21,24,32,22,14,10,17,193
E00073740,21,23,24,19,32,11,13,8,15,166
E00073741,11,21,18,24,20,11,4,9,13,131
E00073743,28,26,20,19,27,17,16,20,21,194
E00073744,6,16,15,17,25,30,20,15,33,177
E00073745,6,5,6,2,4,9,12,8,27,79
E00073746,15,35,21,14,17,10,15,14,27,168
E00073747,15,40,27,11,18,9,11,5,14,150
E00073748,17,40,27,22,21,48,24,24,55,278
E00073749,22,33,10,21,5,5,7,6,5,114
E00073750,10,21,11,19,9,14,16,9,23,132
E00073751,14,14,14,11,11,15,9,6,17,111
E00073752,27,57,28,36,18,20,21,17,32,256
E00073754,6,28,4,12,16,26,11,25,35,163
E00073755,6,7,10,8,10,24,13,8,19,105
E00073756,7,7,3,6,9,8,2,8,16,66
E00073757,20,33,18,18,16,16,12,8,15,156
E00073758,15,17,17,14,14,20,21,25,28,171
E00073759,13,27,8,17,18,22,19,17,32,173
E00073760,25,24,28,14,19,15,19,13,25,182
E00073761,11,30,17,24,19,33,25,13,44,216
E00073762,15,38,14,9,17,9,9,1,7,119
E00073763,16,19,21,12,21,17,18,13,23,160
E00073764,13,20,15,11,11,18,11,22,34,155
E00073765,16,19,15,14,15,16,3,13,14,125
E00073766,9,21,13,12,16,21,16,13,29,150
E00073767,14,20,22,16,23,24,21,18,23,181
E00073768,15,17,17,21,18,29,13,18,29,177
E00073769,8,16,12,9,21,18,9,19,24,136
E00073770,13,20,15,10,16,19,6,16,36,151
E00073771,5,33,16,15,13,16,17,10,22,147
E00073772,13,21,19,18,13,31,8,15,21,159
E00073773,12,15,16,10,24,16,17,10,30,150
E00073774,21,51,29,22,27,21,20,14,42,247
E00073775,15,29,12,18,19,25,24,24,50,216
E00073776,4,20,8,11,8,23,7,9,43,133
E00073777,7,9,9,9,13,16,3,12,16,94
E00073778,17,19,22,19,17,13,21,15,13,156
E00073779,14,42,18,18,16,11,5,0,5,129
E00073780,5,10,13,11,16,17,14,5,21,112
E00073781,11,27,13,25,21,30,12,17,30,186
E00073782,16,28,28,23,36,21,12,21,21,206
E00073783,14,22,23,26,29,12,13,13,16,168
E00073784,30,48,28,45,26,30,13,15,23,258
E00073785,16,10,21,19,25,14,19,10,10,144
E00073786,17,27,12,28,25,23,18,13,31,194
E00073787,21,15,23,34,36,20,25,12,19,205
E00073788,16,25,27,19,14,15,8,6,11,141
E00073789,8,23,24,24,24,29,16,19,19,186
E00073790,17,24,27,24,28,31,20,14,29,214
E00073791,12,8,10,10,13,9,12,11,17,102
E00073792,16,15,11,16,17,24,13,20,27,159
E00073793,21,37,31,22,24,14,20,13,21,203
E00073794,9,25,15,20,41,23,13,20,22,188
E00073795,13,19,29,25,36,25,21,6,26,200
E00073796,8,3,5,11,17,10,9,11,14,88
E00073797,7,25,20,14,18,21,5,13,13,136
E00073798,10,20,19,23,21,19,20,14,14,160
E00073799,16,22,13,19,25,22,15,14,29,175
E00073800,16,8,8,8,12,4,9,6,25,96
E00073801,14,20,20,20,21,11,22,11,19,158
E00073802,9,28,18,13,18,18,16,13,21,154
E00073803,18,24,20,11,26,12,16,5,15,147
E00073804,14,13,12,14,22,9,7,7,10,108
E00073805,9,13,18,18,23,11,17,17,10,136
E00073806,10,20,13,15,16,11,8,7,9,109
E00073807,16,20,9,14,18,13,11,8,14,123
E00073808,0,18,10,14,19,15,8,9,13,106
E00073809,18,20,24,20,22,10,17,11,8,150
E00073810,14,22,23,25,27,12,12,7,10,152
E00073811,14,26,22,25,21,23,13,16,21,181
E00073812,11,17,20,15,28,14,21,9,14,149
E00073813,16,25,14,25,30,18,11,13,12,164
E00073814,24,35,24,23,29,17,19,14,11,196
E00073815,25,33,26,25,35,15,27,16,24,226
E00073816,5,17,13,19,20,20,16,9,19,138
E00073817,8,21,17,13,29,16,18,22,22,166
E00073818,48,61,19,14,9,13,5,1,5,175
E00073819,26,45,12,10,4,6,3,1,1,108
E00073820,25,57,19,7,3,5,10,1,0,127
E00073821,15,35,17,6,4,5,3,0,8,93
E00073822,30,103,37,12,11,6,7,0,8,214
E00073823,7,41,14,8,9,4,6,4,0,93
E00073824,27,87,21,13,5,8,5,0,0,166
E00073825,27,76,35,13,2,10,16,4,7,190
E00073826,35,55,27,13,8,9,8,4,13,172
E00073827,45,97,29,20,5,9,8,6,7,226
E00073828,25,66,28,10,0,8,6,0,8,151
E00073829,23,61,29,10,7,7,5,1,11,154
E00073830,19,90,34,14,7,10,14,7,8,203
E00073831,16,90,22,10,4,7,6,0,3,158
E00073832,24,57,21,11,8,3,7,5,4,140
E00073833,26,69,33,20,8,8,11,0,6,181
E00073834,29,45,12,8,7,6,3,2,7,119
E00073835,33,63,26,4,8,6,7,1,2,150
E00073836,11,38,6,6,2,1,0,2,3,69
E00073837,24,42,16,13,8,10,2,6,3,124
E00073838,29,72,28,13,7,2,5,2,0,158
E00073839,34,78,20,10,2,6,4,1,1,156
E00073840,42,76,15,10,0,5,0,2,0,150
E00073841,31,54,20,9,0,6,1,2,5,128
E00073842,33,75,18,19,8,12,6,1,8,180
E00073843,29,61,28,14,9,10,9,1,8,169
E00073844,21,69,26,9,7,5,3,0,7,147
E00073845,27,58,22,9,5,9,0,3,6,139
E00073846,13,48,16,13,7,9,8,5,5,124
E00073847,28,56,27,15,6,15,8,1,9,165
E00073848,27,77,35,9,9,9,10,1,4,181
E00073849,38,83,28,15,5,9,7,5,9,199
E00073850,25,68,11,10,3,0,4,1,2,124
E00073851,19,64,16,13,3,7,6,1,8,137
E00073852,5,29,17,8,10,16,15,16,27,143
E00073853,12,52,29,23,13,21,7,10,13,180
E00073854,23,44,27,4,15,10,12,17,7,159
E00073855,12,23,16,20,14,12,9,9,15,130
E00073856,19,37,16,18,26,18,14,13,17,178
E00073857,13,57,25,16,17,26,22,16,18,210
E00073858,19,22,19,13,14,15,8,7,24,141
E00073859,32,86,59,25,22,34,19,20,36,333
E00073860,0,5,3,0,0,8,7,5,12,40
E00073861,16,46,36,24,16,21,17,15,16,207
E00073862,29,53,39,23,32,33,35,26,40,310
E00073864,32,60,33,36,38,28,19,13,20,279
E00073865,24,31,30,19,25,10,14,8,14,175
E00073866,18,45,32,18,17,12,15,10,20,187
E00073867,19,44,24,13,21,15,8,8,11,163
E00073868,15,44,33,19,14,11,8,5,9,158
E00073869,15,39,22,9,19,19,13,9,12,157
E00073870,14,35,28,13,20,26,8,14,15,173
E00073871,4,11,7,7,12,20,14,12,21,108
E00073872,13,51,15,24,25,20,9,23,27,207
E00073873,12,31,18,8,19,19,17,14,29,167
E00073874,18,25,5,11,12,25,19,16,26,157
E00073875,24,46,31,14,15,21,15,17,28,211
E00073876,14,16,18,16,18,15,11,15,25,148
E00073877,17,39,31,12,30,17,11,16,32,205
E00073878,12,10,8,12,17,16,12,15,13,115
E00073879,15,24,16,14,21,19,10,17,37,173
E00073880,14,23,10,17,24,31,18,15,27,179
E00073881,24,39,23,12,21,15,14,31,17,196
E00073882,15,33,22,17,15,18,13,18,24,175
E00073883,9,23,12,14,12,17,19,21,20,147
E00073884,9,22,24,13,14,19,16,9,21,147
E00073885,12,21,15,10,25,25,12,23,18,161
E00073886,28,39,26,19,23,23,9,8,25,200
E00073887,20,36,18,13,19,15,15,27,36,199
E00073888,9,36,13,16,24,24,17,14,35,188
E00073889,12,22,20,8,14,17,11,15,23,142
E00073890,12,15,15,13,16,18,16,16,19,140
E00073891,13,24,22,11,26,17,21,18,27,179
E00073892,15,52,24,17,9,14,8,5,16,160
E00073893,32,72,42,9,12,5,10,2,9,193
E00073894,24,86,44,8,16,12,17,10,19,236
E00073895,11,52,27,14,16,12,9,8,16,165
E00073896,3,33,13,15,10,16,11,14,21,136
E00073897,19,69,33,20,16,15,23,7,18,220
E00073898,20,47,25,19,20,17,14,10,33,205
E00073899,19,60,21,18,17,24,10,8,30,207
E00073900,24,75,28,23,16,13,11,4,11,205
E00073901,18,69,43,22,15,11,16,11,30,235
E00073902,11,70,23,21,6,6,22,6,20,185
E00073904,15,72,27,25,18,15,15,14,24,225
E00073905,30,117,66,33,20,23,25,12,34,360
E00073906,19,52,24,16,10,11,3,7,14,156
E00073907,37,66,34,20,11,7,5,2,9,191
E00073908,5,25,18,17,14,20,10,6,33,148
E00073909,5,20,15,11,5,20,15,6,19,116
E00073910,7,24,19,5,4,21,7,9,19,115
E00073911,22,64,18,22,6,6,11,3,9,161
E00073912,15,76,27,17,11,16,17,8,34,221
E00073913,6,69,23,19,10,10,8,13,14,172
E00073914,23,83,29,14,12,11,15,3,9,199
E00073915,18,66,32,10,12,23,31,5,36,233
E00073916,26,66,17,16,12,8,8,1,5,159
E00073917,16,84,31,7,7,4,6,3,10,168
E00073918,26,42,19,17,16,6,9,1,9,145
E00073919,20,44,21,22,14,19,13,17,28,198
E00073921,3,22,16,9,9,15,6,7,12,99
E00073922,23,70,25,12,12,8,15,8,19,192
E00073923,19,57,25,22,7,21,12,7,25,195
E00073925,11,70,28,19,19,21,15,12,32,227
E00073926,18,74,37,15,22,31,14,10,25,246
E00073927,18,61,33,17,15,11,8,10,20,193
E00073928,17,73,28,12,18,8,25,4,24,209
E00073929,19,41,21,15,15,10,8,7,19,155
E00073930,16,30,23,9,14,12,5,13,13,135
E00073931,20,24,16,13,13,14,9,10,19,138
E00073932,20,31,20,14,18,14,12,9,23,161
