Row Labels,Household is deprived in four dimensions,Household is deprived in one dimension,Household is deprived in three dimensions,Household is deprived in two dimensions,Household is not deprived in any dimension,TotalDep
E00074131,0,39,1,5,110,155
E00074132,0,42,4,15,64,125
E00074133,0,42,2,11,64,119
E00074134,0,47,2,18,67,134
E00074135,1,54,7,16,91,169
E00074136,0,53,6,17,70,146
E00074137,0,48,3,15,82,148
E00074138,0,47,0,7,67,121
E00074139,0,43,1,5,105,154
E00074140,0,51,5,14,58,128
E00074141,0,61,3,9,61,134
E00074142,0,41,0,12,79,132
E00074143,1,44,10,22,73,150
E00074144,0,40,2,10,78,130
E00074145,0,42,2,13,80,137
E00074146,0,48,2,15,90,155
E00074147,0,60,2,19,95,176
E00074148,0,35,0,19,67,121
E00074149,0,60,4,27,90,181
E00074150,0,42,9,15,40,106
E00074151,0,49,7,29,63,148
E00074152,0,47,4,23,54,128
E00074153,0,56,6,26,61,149
E00074154,0,41,6,29,53,129
E00074155,0,57,12,32,80,181
E00074156,4,62,15,58,61,200
E00074157,0,42,9,19,63,133
E00074158,0,42,7,26,76,151
E00074159,3,46,16,22,44,131
E00074160,0,41,2,22,59,124
E00074161,2,57,13,29,108,209
E00074162,1,34,12,23,45,115
E00074163,0,53,4,16,55,128
E00074164,0,44,1,18,66,129
E00074165,0,47,4,25,54,130
E00074166,0,62,4,14,97,177
E00074167,3,46,4,25,47,125
E00074168,0,48,4,28,68,148
E00074169,0,40,0,13,82,135
E00074170,2,48,10,23,84,167
E00074171,1,47,7,25,66,146
E00074172,0,51,5,19,77,152
E00074173,1,55,2,10,80,148
E00074174,0,77,9,28,123,237
E00074175,0,59,6,27,82,174
E00074176,0,37,2,18,82,139
E00074177,0,46,3,15,55,119
E00074178,0,54,7,23,85,169
E00074179,0,45,0,16,71,132
E00074180,0,59,8,30,82,179
E00074181,0,64,8,19,91,182
E00074182,4,53,19,33,34,143
E00074183,0,30,3,18,62,113
E00074184,1,44,2,19,65,131
E00074185,1,43,2,9,75,130
E00074186,1,44,1,17,105,168
E00074187,0,47,4,12,74,137
E00074188,0,36,2,9,55,102
E00074189,0,38,3,10,76,127
E00074190,1,48,3,11,74,137
E00074191,2,55,14,16,96,183
E00074193,4,48,11,40,28,131
E00074194,0,39,4,25,39,107
E00074195,0,46,5,14,70,135
E00074197,1,42,10,29,33,115
E00074198,0,49,6,23,48,126
E00074199,0,39,11,35,54,139
E00074200,1,45,8,23,51,128
E00074201,0,47,7,36,73,163
E00074202,2,62,10,24,63,161
E00074203,0,38,13,35,25,111
E00074204,2,58,10,26,88,184
E00074205,0,53,2,28,48,131
E00074206,1,42,14,30,32,119
E00074207,1,51,12,22,46,132
E00074208,0,37,9,27,55,128
E00074209,0,49,15,39,49,152
E00074210,0,39,15,34,34,122
E00074211,0,49,11,35,29,124
E00074212,0,37,0,16,81,134
E00074213,1,81,14,55,72,223
E00074214,0,44,9,24,77,154
E00074215,3,46,19,18,43,129
E00074216,2,44,7,27,38,118
E00074217,0,42,10,33,44,129
E00074218,3,43,10,27,36,119
E00074219,0,48,9,24,53,134
E00074220,0,65,10,29,51,155
E00074221,0,43,7,30,46,126
E00074222,1,37,3,26,42,109
E00074223,0,44,0,15,65,124
E00074224,0,39,2,12,59,112
E00074225,0,43,1,22,64,130
E00074226,0,52,0,13,76,141
E00074227,0,47,10,22,48,127
E00074228,0,49,3,13,115,180
E00074229,4,53,25,41,43,166
E00074230,0,41,4,9,106,160
E00074231,0,35,0,17,77,129
E00074232,1,54,18,34,19,126
E00074233,1,54,18,28,34,135
E00074234,0,36,3,12,78,129
E00074235,2,40,12,48,46,148
E00074236,0,41,3,13,86,143
E00074237,2,39,1,16,113,171
E00074238,0,57,3,21,79,160
E00074240,1,36,2,11,100,150
E00074241,0,41,2,5,84,132
E00074243,0,46,0,6,90,142
E00074244,0,45,1,11,107,164
E00074245,0,22,1,13,79,115
E00074246,0,37,0,4,86,127
E00074247,0,36,8,14,111,169
E00074248,0,29,0,12,88,129
E00074250,0,29,4,7,89,129
E00074251,0,26,0,7,94,127
E00074252,0,42,0,6,83,131
E00074253,2,42,2,10,68,124
E00074254,0,46,10,29,48,133
E00074255,0,39,25,42,15,121
E00074256,0,24,0,8,94,126
E00074257,0,40,7,9,117,173
E00074258,0,63,3,8,159,233
E00074259,0,63,15,38,32,148
E00074260,0,30,1,14,82,127
E00074261,0,33,1,16,97,147
E00074262,0,39,4,19,68,130
E00074263,0,37,3,13,79,132
E00074264,0,52,7,8,99,166
E00074265,0,46,2,10,87,145
E00074266,0,37,0,28,58,123
E00074267,0,34,6,15,57,112
E00074268,0,45,7,22,68,142
E00074269,0,43,2,20,66,131
E00074270,0,37,2,17,73,129
E00074271,0,79,6,69,37,191
E00074272,0,43,12,25,45,125
E00074273,0,40,7,27,52,126
E00074274,3,49,14,22,40,128
E00074275,0,49,3,18,87,157
E00074276,2,48,14,26,57,147
E00074277,0,32,1,10,82,125
E00074278,0,36,0,18,65,119
E00074279,0,61,9,25,89,184
E00074280,0,48,2,20,50,120
E00074281,0,45,2,10,57,114
E00074282,0,48,0,9,79,136
E00074283,0,47,1,18,61,127
E00074284,0,40,4,31,43,118
E00074285,0,42,0,14,58,114
E00074286,0,45,11,26,41,123
E00074287,0,43,16,37,43,139
E00074288,0,54,6,13,76,149
E00074289,1,45,1,14,53,114
E00074290,1,50,12,21,36,120
E00074291,0,47,5,22,47,121
E00074292,0,57,1,13,54,125
E00074293,1,54,3,30,58,146
E00074294,0,38,17,42,34,131
E00074295,2,54,10,23,44,133
E00074296,0,36,2,18,80,136
E00074297,0,52,5,12,88,157
E00074298,1,34,12,41,49,137
E00074299,0,41,8,26,51,126
E00074300,0,54,2,18,76,150
E00074301,0,36,2,12,81,131
E00074302,1,31,5,20,68,125
E00074303,0,35,0,7,71,113
E00074304,0,25,0,4,91,120
E00074306,0,30,1,9,80,120
E00074307,0,45,0,4,84,133
E00074308,0,33,0,8,79,120
E00074309,0,32,0,5,83,120
E00074310,0,43,0,2,73,118
E00074311,0,33,6,6,71,116
E00074312,0,36,0,7,79,122
E00074314,0,28,3,9,85,125
E00074315,0,34,2,6,95,137
E00074316,0,39,0,10,89,138
E00074317,0,27,0,7,98,132
E00074318,0,39,5,6,81,131
E00074319,0,33,0,9,89,131
E00074320,0,39,1,11,85,136
E00074321,0,36,0,3,82,121
E00074322,0,39,2,4,97,142
E00074323,0,36,1,6,87,130
E00074324,0,29,0,10,88,127
E00074325,0,35,6,12,69,122
E00074326,0,32,2,12,58,104
E00074327,0,81,0,15,50,146
E00074328,0,35,0,2,90,127
E00074329,0,32,0,2,85,119
E00074330,0,44,1,18,57,120
E00074331,0,34,0,7,81,122
E00074332,0,34,0,6,87,127
E00074333,0,41,1,4,81,127
E00074334,0,43,0,4,88,135
E00074335,0,35,1,7,82,125
E00074336,0,31,3,19,80,133
E00074337,0,37,0,18,71,126
E00074338,0,46,0,10,73,129
E00074339,0,44,5,13,74,136
E00074340,0,54,0,14,68,136
E00074341,0,23,2,9,98,132
E00074342,0,36,0,10,94,140
E00074343,1,45,9,21,51,127
E00074344,2,39,1,12,57,111
E00074345,0,42,0,4,66,112
E00074346,0,40,0,11,71,122
E00074347,0,37,5,4,77,123
E00074348,0,51,8,27,34,120
E00074349,0,39,11,12,74,136
E00074350,0,31,3,25,71,130
E00074351,0,43,0,18,63,124
E00074352,0,23,0,10,93,126
E00074353,0,32,1,8,94,135
E00074354,1,32,2,10,94,139
E00074355,0,31,0,3,81,115
E00074356,0,32,2,6,79,119
E00074357,0,35,1,7,89,132
E00074358,0,28,1,9,88,126
E00074359,1,28,2,14,75,120
E00074360,0,29,0,4,90,123
E00074361,0,30,1,6,83,120
E00074362,0,37,0,6,83,126
E00074363,0,47,0,11,65,123
E00074364,0,42,12,33,37,124
E00074365,0,47,0,21,60,128
E00074366,2,53,3,30,47,135
E00074367,2,55,27,31,37,152
E00074368,0,33,7,20,75,135
E00074369,0,50,6,23,40,119
E00074371,1,36,11,29,36,113
E00074372,2,53,17,25,39,136
E00074373,0,53,2,23,66,144
E00074374,0,49,9,26,33,117
E00074375,2,49,15,44,40,150
E00074376,0,62,1,19,54,136
E00074377,0,55,18,43,45,161
E00074378,0,42,1,19,66,128
E00074379,0,47,1,19,61,128
E00074380,0,37,4,8,71,120
E00074381,0,25,0,19,60,104
E00074382,0,49,1,17,60,127
E00074383,0,45,17,21,34,117
E00074384,0,41,10,28,31,110
E00074385,0,35,14,37,35,121
E00074386,0,47,0,18,68,133
E00074387,1,29,12,34,43,119
E00074388,0,36,0,13,61,110
E00074389,1,38,15,32,39,125
E00074390,0,30,16,43,17,106
E00074391,4,40,13,38,24,119
E00074392,0,48,21,34,30,133
E00074393,1,42,23,37,35,138
E00074394,3,38,16,37,28,122
E00074395,1,45,15,28,39,128
E00074396,0,43,1,12,74,130
E00074397,1,51,13,34,37,136
E00074398,0,54,1,11,67,133
E00074399,0,39,4,8,93,144
E00074400,0,60,10,39,72,181
E00074401,0,36,1,14,110,161
E00074402,0,34,5,5,118,162
E00074403,0,43,1,10,113,167
E00074404,1,42,1,16,88,148
E00074405,0,54,3,21,83,161
E00074406,0,67,6,41,65,179
E00074407,1,69,5,35,97,207
E00074408,0,53,7,30,86,176
E00074411,0,62,9,30,128,229
E00074412,0,39,14,29,38,120
E00074413,0,52,3,13,93,161
E00074414,0,49,3,14,80,146
E00074415,2,33,9,15,91,150
E00074416,0,32,4,15,91,142
E00074417,2,40,5,16,92,155
E00074418,0,33,7,14,74,128
E00074419,0,38,1,16,83,138
E00074420,2,44,7,17,97,167
E00074421,0,42,6,17,77,142
E00074422,0,56,7,26,55,144
E00074423,0,36,1,9,107,153
E00074424,0,50,0,12,67,129
E00074425,0,45,1,10,73,129
E00074426,0,32,2,11,94,139
E00074427,1,46,4,14,100,165
E00074428,0,34,0,11,107,152
E00074429,0,38,2,11,94,145
E00074430,0,50,4,17,86,157
E00074431,1,49,10,16,108,184
E00074432,0,33,3,8,98,142
E00074433,0,29,1,6,95,131
E00074434,0,44,7,18,68,137
E00074435,0,29,2,15,98,144
E00074436,0,51,6,12,87,156
E00074437,0,34,4,19,82,139
E00074438,0,39,2,16,102,159
E00074439,0,33,13,23,42,111
E00165771,1,67,13,48,70,199
E00165772,0,21,2,1,38,62
E00174043,0,24,0,4,63,91
E00174044,0,50,6,34,48,138
E00174046,0,36,1,6,66,109
E00174053,1,54,11,26,65,157
E00174058,0,52,10,19,66,147
E00174214,0,52,6,10,72,140
E00174215,0,38,5,32,53,128
E00174218,1,55,1,16,128,201
E00174220,0,17,1,1,35,54
E00174221,0,48,7,14,63,132
E00174225,0,37,0,5,45,87
E00174226,0,42,2,17,72,133
E00174228,0,55,13,18,45,131
E00174229,0,55,19,35,68,177
E00174231,0,73,3,31,51,158
E00174232,0,43,6,18,82,149
E00174234,0,68,5,17,121,211
E00174237,1,43,11,22,62,139
E00174239,1,15,6,12,14,48
E00174243,1,59,2,8,115,185
E00174245,0,33,2,7,57,99
E00174246,2,25,9,19,43,98
E00174248,0,23,2,5,71,101
E00174249,0,35,10,8,56,109
E00174251,1,80,14,42,96,233
E00174253,0,45,6,22,67,140
E00174254,0,36,12,39,25,112
E00174256,0,47,4,10,103,164
E00174257,0,41,3,22,132,198
E00174259,0,36,8,19,72,135
E00174260,0,28,10,18,34,90
E00174262,3,44,4,16,75,142
E00174263,0,26,3,8,64,101
E00174273,0,54,12,32,52,150
E00174275,0,16,2,7,60,85
E00174276,0,33,9,13,68,123
E00174277,0,40,6,15,102,163
E00174278,0,53,1,6,182,242
E00174279,0,37,9,21,43,110
E00174280,1,45,5,18,38,107
E00174281,1,31,5,14,68,119
E00174282,1,78,5,16,116,216
E00174283,0,43,9,19,84,155
E00174284,0,43,5,13,93,154
E00174286,0,21,2,9,81,113
E00174287,1,34,0,5,73,113
E00174288,0,40,6,21,56,123
E00174289,0,48,3,22,49,122
E00174290,0,35,19,35,34,123
E00174291,0,45,2,12,86,145
E00174292,1,31,1,13,113,159
E00174293,0,46,1,13,100,160
E00174294,0,43,1,8,71,123
E00174295,0,47,0,3,62,112
E00174296,0,67,5,26,115,213
E00174298,0,21,2,7,19,49
E00174299,0,55,6,17,99,177
E00174300,0,36,0,10,90,136
E00174302,0,27,4,15,39,85
E00174303,0,19,1,2,95,117
E00174304,0,29,11,27,43,110
E00174305,1,34,11,26,22,94
E00174306,3,38,7,32,24,104
E00174307,0,39,1,4,49,93
E00174309,0,19,0,4,74,97
E00174311,0,20,0,3,77,100
E00174312,0,30,0,9,48,87
E00174313,0,25,1,6,64,96
E00174314,0,50,9,48,26,133
E00174315,0,43,3,14,96,156
E00174316,0,21,1,3,60,85
E00174317,0,23,0,2,43,68
E00174318,0,15,1,3,30,49
E00174319,0,32,9,34,31,106
E00174320,1,36,15,19,55,126
E00174321,0,22,2,5,14,43
E00174322,2,31,15,23,18,89
E00174323,2,17,1,7,25,52
E00174324,2,34,6,21,43,106
E00174325,0,59,1,14,119,193
E00174326,0,57,16,36,75,184
E00174327,0,42,4,14,90,150
E00174328,0,28,6,14,45,93
E00174329,1,38,7,19,63,128
E00174331,0,8,0,3,30,41
E00174332,0,26,0,7,70,103
E00174333,0,23,0,5,82,110
E00178043,0,42,8,14,65,129
E00178044,1,24,1,2,70,98
E00178045,1,39,3,14,44,101
E00178046,0,76,1,13,100,190
E00178047,0,25,0,16,69,110
E00178048,0,23,0,9,70,102
E00178049,0,58,1,8,81,148
E00178050,0,52,12,32,20,116
E00178051,12,47,32,52,45,188
E00178052,0,32,3,11,64,110
E00178053,0,33,0,4,144,181
E00178054,0,22,6,15,50,93
E00178055,0,17,1,6,44,68
E00178056,0,48,0,13,45,106
E00178057,0,40,0,7,130,177
E00178058,0,15,0,3,45,63
E00178059,4,52,8,21,93,178
E00178060,0,43,3,14,165,225
E00178061,0,39,10,12,129,190
E00178062,0,30,4,14,83,131
E00178063,0,15,1,5,20,41
E00178064,0,15,0,2,35,52
E00178065,0,22,1,3,71,97
E00178066,0,75,3,22,106,206
E00178067,0,34,4,20,47,105
E00178068,0,20,2,5,21,48
E00178069,0,31,3,5,174,213
E00178070,0,50,3,16,55,124
E00178071,0,25,7,14,57,103
E00178072,0,36,0,11,107,154
E00178073,0,22,1,4,88,115
E00178074,0,42,0,11,73,126
E00178075,0,11,0,10,44,65
E00178076,0,78,3,14,104,199
E00178077,0,17,0,3,27,47
E00178078,0,35,10,31,10,86
E00178079,0,47,1,15,162,225
E00178080,1,64,13,56,35,169
E00178081,0,25,10,22,30,87
E00178082,0,28,6,17,74,125
E00178083,1,41,4,12,66,124
E00178084,0,80,1,10,263,354
E00178085,0,23,2,3,22,50
E00178086,0,42,0,10,133,185
E00178087,1,55,6,36,53,151
E00178088,0,10,0,2,55,67
E00178089,2,64,20,38,39,163
E00178090,1,32,3,8,53,97
E00178091,2,49,8,20,67,146
E00178092,1,59,4,18,88,170
E00178093,0,21,3,3,64,91
E00178094,2,32,7,16,32,89
E00178095,0,14,3,10,39,66
E00178096,0,42,1,7,46,96
E00178097,0,18,1,5,55,79
E00178098,1,32,8,20,49,110
E00178099,0,31,0,8,49,88
E00178100,0,21,2,4,64,91
E00178101,0,36,0,7,83,126
E00178102,0,49,7,30,46,132
E00178103,0,25,0,1,116,142
E00178104,1,36,8,24,36,105
E00178105,0,24,3,5,48,80
E00178106,0,25,1,12,60,98
E00178107,0,19,0,4,50,73
E00178108,0,65,4,24,122,215
E00178109,0,26,1,2,84,113
E00178110,0,14,1,6,77,98
E00178111,0,19,0,4,21,44
E00178112,0,56,0,7,174,237
E00178113,0,34,6,27,36,103
E00178114,0,33,0,4,92,129
E00178115,0,5,1,3,74,83
E00178116,1,22,8,15,11,57
E00178117,0,54,7,15,170,246
E00178118,0,22,4,6,120,152
E00178119,1,43,10,25,46,125
