Row Labels,Any other combination of only UK identities,British only identity,Cornish and British only identity,Cornish only identity,Does not apply,English and British only identity,English only identity,Irish and at least one UK identity,Irish only identity,Northern Irish and British only identity,Northern Irish only identity,Other identity and at least one UK identity,Other identity only,Scottish and British only identity,Scottish only identity,Welsh and British only identity,Welsh only identity,TotalIde
E00073357,0,202,0,0,0,46,51,0,0,0,3,8,18,0,0,0,5,333
E00073358,3,205,1,0,0,57,43,0,0,0,0,3,27,0,0,1,4,344
E00073359,2,162,0,0,0,60,78,0,1,0,1,7,15,2,0,4,1,333
E00073360,0,141,0,0,0,49,50,0,0,0,1,2,26,0,0,1,5,275
E00073361,1,181,0,0,0,60,41,0,0,0,0,10,28,1,3,3,5,333
E00073362,1,253,0,0,0,69,45,0,2,2,0,8,39,0,0,0,9,428
E00073363,1,183,0,0,0,47,73,0,1,0,1,11,14,4,0,0,6,341
E00073364,2,178,0,0,0,60,47,0,0,0,0,7,14,0,1,2,1,312
E00073365,0,184,0,0,0,53,49,0,9,0,0,1,23,0,1,1,2,323
E00073366,3,234,1,3,0,50,58,0,1,0,0,15,30,0,0,3,0,398
E00073367,0,188,0,0,0,37,54,0,1,0,0,3,14,1,3,1,4,306
E00073368,0,165,0,0,0,50,63,1,0,0,0,3,18,0,0,0,2,302
E00073369,1,163,0,0,0,54,65,0,0,0,1,9,30,0,1,0,4,328
E00073370,0,107,0,0,0,27,61,0,2,0,0,0,19,1,3,1,2,223
E00073371,0,105,0,0,0,28,38,0,1,0,0,3,14,1,0,1,0,191
E00073372,0,167,0,0,0,44,46,1,0,0,0,1,22,0,1,0,0,282
E00073373,4,156,0,0,0,33,38,1,2,0,0,16,30,1,3,1,0,285
E00073374,4,194,0,0,0,39,45,2,2,0,0,18,24,4,5,3,6,346
E00073375,5,165,0,0,0,51,52,0,1,1,3,7,37,0,1,3,3,329
E00073376,0,147,0,0,0,51,51,0,0,0,1,5,10,0,1,1,0,267
E00073377,0,183,0,0,0,47,22,0,0,0,1,5,22,1,2,2,2,287
E00073378,0,157,0,0,0,44,45,2,0,0,0,7,21,2,1,1,0,280
E00073379,0,194,0,0,0,62,88,0,1,0,0,3,13,0,0,1,1,363
E00073380,1,241,0,0,0,49,68,0,0,0,0,3,22,1,1,1,1,388
E00073381,2,232,0,0,0,88,60,0,0,0,0,9,32,2,2,1,2,430
E00073382,0,214,0,0,0,55,79,0,0,0,1,8,31,0,2,0,0,390
E00073383,0,157,0,0,0,43,47,0,3,0,0,5,14,0,0,0,1,270
E00073384,0,336,0,0,0,40,64,0,0,0,0,11,14,4,0,3,6,478
E00073385,0,201,0,0,0,55,69,0,1,0,1,4,28,0,0,0,0,359
E00073386,0,234,0,0,0,44,62,0,1,0,1,4,31,0,0,0,4,381
E00073387,2,123,0,0,0,36,47,0,0,0,0,3,18,0,2,2,4,237
E00073388,1,173,0,0,0,73,48,0,2,0,0,4,13,0,1,0,1,316
E00073389,2,181,0,0,0,45,40,0,0,0,0,10,43,0,4,2,2,329
E00073390,1,171,0,0,0,46,57,1,3,0,1,5,49,0,0,1,3,338
E00073391,0,184,0,0,0,39,70,0,1,0,0,3,25,0,0,0,3,325
E00073392,0,241,0,1,0,33,64,0,1,0,2,6,35,0,0,0,0,383
E00073393,0,183,0,0,0,56,31,0,1,0,0,4,15,0,2,1,3,296
E00073394,1,276,0,0,0,64,54,1,0,0,0,6,33,2,1,5,1,444
E00073395,0,208,0,0,0,49,37,0,4,0,0,4,25,0,0,0,2,329
E00073397,2,141,0,0,0,40,47,0,0,0,1,12,23,0,0,0,6,272
E00073398,3,171,0,1,0,38,27,0,2,0,0,8,20,0,4,4,4,282
E00073399,2,178,0,0,0,53,46,0,0,0,1,11,25,0,0,3,3,322
E00073400,0,184,0,0,0,42,36,1,3,0,0,13,25,0,1,4,6,315
E00073401,0,178,0,0,0,50,25,3,2,0,4,11,16,0,1,2,4,296
E00073402,0,142,0,0,0,42,31,0,5,0,0,8,36,0,0,2,4,270
E00073403,1,180,0,0,0,43,38,0,1,1,0,6,28,0,0,2,4,304
E00073404,0,170,0,0,0,40,23,3,4,1,0,7,27,2,4,3,5,289
E00073405,2,188,0,0,0,60,48,0,2,0,0,8,41,1,1,2,2,355
E00073406,2,143,0,0,0,64,51,1,1,0,1,2,15,0,4,2,8,294
E00073407,3,210,0,0,0,50,29,3,0,1,0,9,31,3,1,2,3,345
E00073408,2,227,0,1,0,61,40,0,0,0,1,9,12,0,0,3,7,363
E00073409,3,170,0,0,0,45,38,0,3,1,1,5,17,0,1,1,4,289
E00073410,1,167,0,2,0,28,54,0,2,0,0,7,29,0,5,0,3,298
E00073411,1,185,0,0,0,37,46,1,0,0,0,16,39,0,0,2,3,330
E00073412,2,216,0,0,0,55,64,2,3,0,0,7,34,1,1,1,3,389
E00073413,0,188,0,0,0,43,43,2,3,0,0,0,13,0,2,1,2,297
E00073414,2,166,0,0,0,23,19,0,1,0,0,14,90,0,0,1,5,321
E00073415,1,128,0,0,0,35,22,0,2,0,0,15,100,0,2,0,3,308
E00073416,2,154,1,0,0,42,22,0,2,2,0,12,51,0,0,3,9,300
E00073419,4,147,0,1,0,43,15,2,0,0,3,20,45,1,3,4,13,301
E00073420,1,107,0,0,0,23,18,0,1,0,0,9,52,0,1,1,4,217
E00073421,2,185,0,0,0,50,36,1,4,0,0,24,87,3,1,3,16,412
E00073422,0,152,0,0,0,18,13,0,0,0,0,6,47,0,0,0,1,237
E00073423,1,109,1,0,0,44,29,0,4,0,0,10,57,1,3,2,3,264
E00073424,2,143,0,0,0,20,21,0,4,0,0,23,63,0,2,1,2,281
E00073425,2,171,0,0,0,62,32,0,5,0,0,31,73,0,0,5,8,389
E00073426,6,174,0,2,0,47,26,5,2,1,5,11,80,1,1,6,7,374
E00073431,5,251,0,1,0,73,29,4,6,0,4,25,90,0,2,5,10,505
E00073432,0,80,0,0,0,21,17,0,1,0,0,7,36,0,0,0,3,165
E00073433,4,188,1,2,0,92,37,3,5,4,3,25,160,0,1,3,11,539
E00073437,0,108,0,0,0,23,26,0,0,0,0,12,30,3,1,3,5,211
E00073439,1,145,0,0,0,42,12,2,0,1,0,19,35,1,0,0,5,263
E00073440,2,158,0,0,0,30,27,2,2,0,0,10,33,0,2,3,6,275
E00073441,2,160,0,0,0,28,14,0,2,0,0,4,35,0,2,2,4,253
E00073442,3,235,0,1,0,60,23,1,2,1,0,24,40,4,2,1,12,409
E00073443,3,149,1,0,0,33,26,0,0,0,0,19,33,4,2,2,4,276
E00073444,3,122,0,1,0,52,13,1,3,0,2,6,35,1,0,0,2,241
E00073445,0,128,0,0,0,36,28,3,2,0,1,13,47,1,0,1,5,265
E00073446,8,211,1,0,0,65,21,3,4,2,3,16,85,0,6,5,3,433
E00073447,1,154,0,0,0,26,25,0,0,0,0,17,31,1,1,3,2,261
E00073448,3,147,0,0,0,68,24,0,4,0,0,9,26,4,2,3,9,299
E00073449,2,96,0,0,0,29,12,2,1,0,0,19,34,3,0,3,5,206
E00073450,1,163,0,0,0,33,18,2,1,1,1,6,33,0,2,2,6,269
E00073451,3,151,0,0,0,40,33,0,1,1,0,14,21,0,3,4,6,277
E00073452,1,128,0,0,0,35,25,0,7,3,3,10,60,0,2,1,7,282
E00073453,3,161,0,2,0,53,18,0,0,1,1,15,43,0,4,5,7,313
E00073454,3,185,0,3,0,43,29,1,4,0,0,15,40,0,1,2,4,330
E00073455,3,170,0,0,0,37,33,1,0,0,0,31,38,3,3,2,2,323
E00073456,0,149,0,0,0,34,17,1,3,0,0,17,39,1,1,4,6,272
E00073457,1,92,0,1,0,38,23,1,5,1,0,21,30,0,2,0,4,219
E00073458,1,165,0,1,0,27,26,0,4,3,2,17,32,0,0,1,7,286
E00073461,3,137,0,1,0,29,8,3,0,0,0,7,13,3,3,1,2,210
E00073462,1,213,2,3,0,72,23,1,2,2,1,18,44,1,3,1,8,395
E00073463,1,100,0,0,0,25,15,0,2,0,1,17,37,1,0,4,1,204
E00073464,3,301,0,0,0,109,31,2,0,1,2,33,49,3,6,7,13,560
E00073465,1,198,1,1,0,53,14,1,2,2,0,16,42,2,0,4,9,346
E00073466,4,195,0,0,0,67,37,5,3,1,1,22,63,4,3,6,11,422
E00073467,4,151,0,2,0,35,30,0,0,0,0,11,31,3,3,3,4,277
E00073468,3,199,0,0,0,54,28,0,2,1,4,7,29,1,4,4,6,342
E00073469,2,122,0,0,0,35,27,0,1,0,0,16,25,0,1,0,5,234
E00073470,0,175,0,1,0,58,33,0,1,0,2,15,54,2,6,7,9,363
E00073471,1,106,1,1,0,27,17,1,1,0,0,9,25,0,2,1,4,196
E00073472,4,120,0,1,0,49,18,0,0,0,1,11,49,2,0,4,7,266
E00073473,8,201,1,0,0,50,53,0,3,1,1,18,54,3,9,25,22,449
E00073474,0,110,0,0,0,16,22,2,6,1,0,5,15,0,1,0,2,180
E00073476,2,164,0,1,0,31,17,1,3,1,0,6,35,2,4,3,5,275
E00073477,0,154,0,0,0,36,24,0,3,0,4,9,32,1,0,2,2,267
E00073478,2,117,0,2,0,45,16,0,1,1,2,11,25,3,2,3,3,233
E00073479,3,142,0,0,0,30,26,0,2,0,0,17,26,0,1,1,3,251
E00073480,0,183,0,0,0,35,22,2,2,4,1,1,29,2,2,0,2,285
E00073481,4,272,0,0,0,55,52,1,8,1,3,15,52,0,2,4,10,479
E00073482,4,207,0,1,0,69,33,0,1,2,0,22,41,2,2,3,10,397
E00073483,4,184,0,0,0,40,27,1,3,2,0,16,57,2,0,3,11,350
E00073484,0,142,0,0,0,30,12,0,3,1,3,5,62,0,3,1,5,267
E00073485,4,122,0,4,0,32,21,1,4,0,0,5,31,0,2,3,5,234
E00073486,5,142,0,0,0,41,34,1,3,0,0,20,125,1,2,1,6,381
E00073487,1,162,0,0,0,41,18,0,5,0,1,9,36,6,2,3,4,288
E00073488,2,126,0,0,0,52,25,0,4,0,1,19,38,0,0,3,5,275
E00073489,3,121,0,0,0,30,25,1,2,0,0,7,33,1,1,0,4,228
E00073490,0,151,0,0,0,36,17,0,1,3,3,13,38,3,2,4,8,279
E00073491,0,139,0,0,0,45,16,1,1,0,1,17,96,2,0,4,7,329
E00073492,2,163,0,2,0,30,18,0,3,1,2,12,46,0,3,5,9,296
E00073493,7,149,0,1,0,47,13,0,1,0,0,17,93,1,4,1,3,337
E00073494,9,161,0,0,0,77,35,0,1,0,0,16,43,1,4,4,8,359
E00073495,4,192,0,0,0,71,32,6,6,1,1,39,66,1,2,6,7,434
E00073496,8,254,0,1,0,92,26,3,3,1,1,31,78,4,6,7,6,521
E00073497,2,142,0,0,0,53,17,1,8,0,2,10,34,0,0,0,3,272
E00073498,0,139,0,0,0,35,21,0,1,1,0,7,33,3,0,4,0,244
E00073499,2,130,0,0,0,46,20,0,0,0,1,8,23,1,0,3,4,238
E00073500,4,209,0,0,0,82,37,4,3,1,3,20,49,1,0,2,13,428
E00073501,6,196,0,0,0,61,17,0,3,1,0,23,31,1,3,4,1,347
E00073502,0,222,0,0,0,56,23,2,1,0,3,13,44,1,2,4,10,381
E00073503,1,139,0,0,0,23,26,0,2,0,2,8,45,1,1,1,3,252
E00073504,4,177,0,0,0,51,23,0,8,1,0,13,52,0,6,3,7,345
E00073505,3,101,0,1,0,34,9,0,1,0,0,4,54,2,3,2,6,220
E00073506,2,168,0,0,0,36,23,1,3,1,1,6,42,0,3,1,6,293
E00073507,0,85,0,0,0,38,12,2,3,0,0,6,17,0,0,1,3,167
E00073508,0,139,0,1,0,35,12,3,1,1,1,14,28,3,2,7,3,250
E00073509,2,174,0,0,0,37,12,0,4,0,1,14,49,1,2,3,9,308
E00073510,1,153,0,0,0,53,23,0,1,0,0,18,24,3,1,6,9,292
E00073511,1,136,0,0,0,38,27,0,4,0,1,9,36,1,1,0,7,261
E00073512,1,178,0,0,0,53,27,1,5,0,3,20,26,2,5,2,10,333
E00073513,0,138,0,3,0,45,18,0,1,1,1,15,44,2,10,6,9,293
E00073514,3,202,0,0,0,57,29,0,1,5,2,15,33,2,3,1,5,358
E00073515,1,164,0,0,0,47,26,0,2,0,3,17,26,1,5,1,7,300
E00073516,2,191,1,0,0,46,32,3,4,0,0,21,50,0,0,2,9,361
E00073517,1,138,0,1,0,36,26,2,1,0,3,14,39,1,1,1,6,270
E00073518,2,106,0,0,0,48,14,2,3,0,1,16,42,0,1,2,3,240
E00073519,2,199,1,0,0,58,21,0,0,1,1,11,35,2,5,4,9,349
E00073520,3,173,0,0,0,64,27,0,2,1,1,15,23,2,1,2,8,322
E00073521,6,202,0,0,0,54,27,0,2,0,1,17,24,2,2,6,3,346
E00073522,0,217,0,0,0,41,14,0,2,0,0,10,26,1,1,4,3,319
E00073523,2,120,0,1,0,46,26,0,6,1,1,12,24,2,0,3,6,250
E00073524,0,158,0,0,0,49,20,0,4,3,0,14,33,3,3,4,6,297
E00073525,4,189,0,1,0,55,14,3,4,0,2,16,27,3,4,3,7,332
E00073526,2,163,0,1,0,61,26,0,2,2,0,17,35,0,0,3,6,318
E00073527,1,165,0,0,0,46,33,1,1,0,0,17,53,1,0,2,7,327
E00073528,1,186,0,0,0,40,25,3,3,0,1,14,37,1,3,7,8,329
E00073529,1,159,0,0,0,47,32,0,3,0,0,5,40,4,3,1,15,310
E00073530,0,197,0,0,0,57,26,1,5,0,2,20,30,0,1,6,7,352
E00073531,1,182,0,2,0,69,26,1,2,0,3,20,26,1,2,4,8,347
E00073532,5,280,0,1,0,95,42,3,4,0,0,17,70,3,3,6,13,542
E00073533,3,185,0,2,0,40,15,2,9,2,3,14,24,3,2,2,2,308
E00073534,3,170,0,0,0,36,23,2,0,0,2,10,28,0,2,2,6,284
E00073535,0,118,0,0,0,33,21,1,4,3,0,8,23,0,2,0,3,216
E00073536,0,121,0,1,0,32,19,3,1,1,0,10,24,0,0,4,2,218
E00073537,2,184,0,1,0,53,27,4,4,0,3,24,38,1,0,5,8,354
E00073538,1,153,0,0,0,52,15,0,1,0,0,10,22,0,3,5,4,266
E00073539,1,106,0,1,0,34,19,1,1,0,0,4,28,1,2,3,6,207
E00073540,1,120,0,0,0,31,16,1,2,0,3,11,16,0,0,3,9,213
E00073541,8,171,0,1,0,57,30,0,1,0,0,16,30,1,2,3,11,331
E00073542,1,154,0,0,0,48,21,2,4,0,0,19,37,3,2,2,3,296
E00073543,2,182,0,0,0,60,25,0,3,0,1,13,23,1,1,2,11,324
E00073544,4,160,0,0,0,36,33,1,3,2,0,8,26,1,1,1,5,281
E00073545,3,229,0,1,0,65,26,1,2,0,4,9,48,2,2,4,6,402
E00073546,3,225,0,1,0,85,22,1,0,1,0,14,32,2,2,4,19,411
E00073547,4,148,0,0,0,40,11,0,3,0,2,12,31,4,2,2,3,262
E00073548,6,203,0,1,0,93,29,2,0,0,0,27,59,1,1,2,15,439
E00073549,3,171,0,0,0,32,11,3,5,1,1,11,39,1,6,5,8,297
E00073550,5,173,0,2,0,61,32,0,4,1,2,12,31,1,0,2,8,334
E00073551,8,200,1,1,0,52,24,2,1,0,3,15,16,2,5,2,5,337
E00073552,2,176,0,0,0,39,24,2,2,0,2,11,27,0,2,2,4,293
E00073553,3,139,0,0,0,45,21,0,1,1,3,21,23,1,4,2,9,273
E00073554,2,154,1,0,0,42,22,2,5,0,1,14,35,0,0,1,9,288
E00073555,0,127,0,0,0,55,16,2,6,0,2,12,34,3,0,1,5,263
E00073556,1,128,0,0,0,43,20,0,2,2,1,11,38,2,4,2,3,257
E00073557,0,242,0,0,0,45,28,0,3,0,1,9,27,0,0,5,9,369
E00073558,3,183,0,1,0,33,27,2,4,0,0,14,41,1,6,6,10,331
E00073559,0,207,0,0,0,40,23,4,4,2,1,20,48,0,3,3,4,359
E00073560,2,157,0,0,0,25,46,0,1,0,1,9,66,1,2,2,5,317
E00073561,1,291,0,1,0,38,34,5,3,0,0,12,90,2,1,0,1,479
E00073562,3,293,0,0,0,34,15,0,4,0,0,19,70,0,0,0,1,439
E00073563,0,254,0,0,0,38,25,0,1,0,0,23,55,0,2,0,13,411
E00073564,3,216,0,0,0,40,24,2,2,0,0,25,39,1,5,3,0,360
E00073565,0,304,0,0,0,35,28,3,1,0,1,16,212,1,3,1,7,612
E00073566,1,139,0,0,0,5,17,0,1,0,2,11,66,0,0,2,1,245
E00073567,3,190,0,0,0,17,33,1,3,0,1,12,56,0,2,2,1,321
E00073568,0,232,0,2,0,32,30,0,0,2,1,21,67,0,2,3,7,399
E00073569,1,281,0,0,0,38,36,0,1,1,1,33,64,0,1,0,3,460
E00073570,0,215,0,0,0,36,14,0,0,0,0,10,67,0,3,3,0,348
E00073571,1,253,0,0,0,48,22,1,1,0,0,25,56,2,2,2,8,421
E00073572,4,228,0,0,0,17,29,1,1,0,0,23,41,2,2,2,6,356
E00073573,1,336,0,2,0,50,25,1,4,0,0,12,105,0,5,4,6,551
E00073574,3,209,0,0,0,34,24,2,1,0,0,10,90,1,3,1,5,383
E00073575,2,316,0,0,0,48,20,1,6,0,0,15,97,0,2,2,2,511
E00073576,2,221,0,1,0,38,42,2,2,0,0,20,69,0,7,3,5,412
E00073577,1,228,0,0,0,31,31,0,0,0,0,17,50,0,2,2,6,368
E00073578,1,244,0,0,0,24,20,0,2,0,2,28,79,1,4,1,4,410
E00073579,1,126,0,2,0,31,35,1,3,1,1,11,38,1,0,0,4,255
E00073580,0,219,2,1,0,45,47,1,3,0,0,14,70,3,2,3,0,410
E00073581,2,195,0,1,0,39,28,1,2,0,0,9,30,1,4,2,9,323
E00073582,0,207,0,2,0,45,21,0,0,0,0,6,48,0,0,5,4,338
E00073583,2,161,0,2,0,35,32,0,3,0,0,11,53,2,0,0,5,306
E00073584,3,195,0,0,0,30,40,0,2,0,1,14,57,0,2,0,3,347
E00073585,1,168,0,0,0,51,34,0,4,0,2,16,64,2,1,0,8,351
E00073586,1,162,0,1,0,26,38,0,2,0,0,10,36,0,3,0,7,286
E00073587,2,155,0,0,0,44,29,2,4,0,1,11,64,1,0,2,2,317
E00073588,0,94,0,0,0,7,24,0,5,0,0,6,40,1,0,0,7,184
E00073589,1,53,0,0,0,13,15,0,0,0,0,8,45,0,0,0,0,135
E00073590,6,230,0,0,0,45,35,0,3,0,3,22,103,1,1,5,4,458
E00073591,0,137,0,1,0,35,24,0,1,0,2,8,32,0,2,0,2,244
E00073592,3,151,0,0,0,37,20,1,2,0,0,16,52,1,1,0,4,288
E00073593,1,127,0,0,0,38,17,0,0,0,2,17,60,1,1,3,8,275
E00073594,1,174,0,0,0,36,31,1,1,0,0,16,33,0,4,2,5,304
E00073595,1,141,0,0,0,31,38,1,1,0,0,20,56,0,1,2,9,301
E00073596,2,162,0,0,0,40,31,3,4,0,0,18,45,1,1,2,0,309
E00073597,0,334,0,1,0,47,33,1,2,1,0,13,129,1,4,3,6,575
E00073598,2,217,0,0,0,35,31,1,1,1,0,5,61,0,0,0,5,359
E00073599,1,124,0,0,0,28,33,0,1,0,0,19,34,1,1,0,0,242
E00073600,0,246,0,3,0,75,60,0,5,0,0,4,50,0,1,4,12,460
E00073601,0,167,0,1,0,17,17,0,0,0,0,5,62,1,0,2,7,279
E00073602,2,192,0,0,0,29,43,0,2,0,0,7,56,1,1,2,2,337
E00073603,0,172,0,0,0,19,31,1,2,0,0,12,104,0,0,0,5,346
E00073604,1,268,0,0,0,31,26,0,1,0,0,13,54,0,0,0,2,396
E00073605,1,133,0,0,0,31,27,1,0,0,0,11,49,1,1,5,3,263
E00073606,0,234,0,0,0,38,46,1,0,0,3,20,47,1,3,2,5,400
E00073607,0,184,0,0,0,25,25,0,0,0,0,8,53,0,0,2,2,299
E00073608,1,192,0,0,0,12,28,0,0,0,1,9,62,1,4,1,2,313
E00073609,0,197,0,0,0,23,18,0,0,1,0,7,66,0,0,0,4,316
E00073611,0,229,0,3,0,30,21,2,8,0,0,13,106,0,0,2,2,416
E00073612,1,217,0,0,0,22,23,0,1,0,0,20,57,0,4,0,0,345
E00073613,0,209,0,0,0,20,16,0,1,0,1,11,43,0,0,0,1,302
E00073614,0,345,0,0,0,52,47,1,4,0,0,18,91,3,0,1,8,570
E00073615,1,244,0,1,0,30,48,1,4,0,0,8,52,0,0,2,4,395
E00073616,2,199,0,1,0,43,41,0,5,0,0,9,41,0,0,1,0,342
E00073617,0,146,0,0,0,30,34,0,0,0,0,13,30,0,0,3,4,260
E00073618,1,198,0,0,0,25,46,0,1,0,6,10,29,0,0,0,4,320
E00073619,3,244,0,0,0,45,39,0,1,0,0,13,35,2,4,3,5,394
E00073620,4,164,0,2,0,61,42,0,6,0,0,10,21,1,0,4,4,319
E00073621,2,241,0,0,0,34,23,0,3,0,0,11,36,2,7,1,5,365
E00073622,1,162,0,0,0,62,28,0,4,0,2,12,27,0,0,7,10,315
E00073623,2,229,0,1,0,44,26,0,0,1,2,8,31,0,1,3,11,359
E00073624,2,153,0,0,0,38,28,1,3,1,4,3,20,0,1,3,6,263
E00073625,2,171,0,3,0,63,48,1,2,0,1,12,37,0,2,5,11,358
E00073626,3,186,0,0,0,38,34,1,0,1,2,15,17,1,1,1,4,304
E00073627,3,247,0,0,0,53,44,2,6,0,0,15,51,0,1,3,5,430
E00073628,0,143,0,0,0,9,15,0,0,0,0,7,51,0,0,2,0,227
E00073629,4,220,0,0,0,28,40,1,0,0,0,22,52,3,5,0,7,382
E00073630,1,243,0,0,0,31,39,2,3,0,0,15,108,2,4,3,9,460
E00073631,0,200,0,0,0,39,37,2,1,0,0,13,32,2,1,1,1,329
E00073632,0,281,0,0,0,30,34,1,0,0,2,10,37,0,2,2,6,405
E00073633,0,142,0,0,0,42,26,1,0,0,0,9,38,0,0,0,5,263
E00073634,4,294,0,1,0,43,55,0,0,2,0,13,59,1,2,2,16,492
E00073635,2,221,0,0,0,29,29,5,2,0,1,12,42,0,0,6,7,356
E00073636,1,229,0,0,0,64,53,0,2,0,0,6,36,0,0,1,0,392
E00073637,1,198,0,0,0,63,57,0,0,0,1,6,38,0,0,0,2,366
E00073638,0,213,0,1,0,71,41,0,0,0,0,4,24,1,1,1,1,358
E00073639,0,178,0,1,0,66,76,1,1,0,0,5,27,0,0,1,5,361
E00073640,1,212,0,1,0,60,47,2,0,0,0,3,24,0,2,0,2,354
E00073641,0,184,0,0,0,97,65,1,0,1,0,2,37,0,1,1,0,389
E00073642,0,198,0,0,0,39,58,0,1,0,0,8,70,0,0,1,2,377
E00073643,0,226,0,0,0,81,62,0,1,0,0,15,22,0,1,0,0,408
E00073644,0,212,0,0,0,75,64,0,0,0,0,9,24,0,0,3,1,388
E00073645,1,237,0,0,0,62,27,1,1,0,0,2,51,0,0,0,2,384
E00073646,0,276,0,0,0,85,45,0,3,1,0,15,132,0,0,0,6,563
E00073647,2,235,0,0,0,53,54,0,0,1,0,4,30,0,0,1,1,381
E00073648,0,248,0,0,0,87,44,0,0,0,0,15,27,0,0,0,0,421
E00073649,0,213,0,0,0,61,43,0,0,0,0,9,27,0,0,0,3,356
E00073650,2,190,0,0,0,65,49,0,4,0,1,10,49,0,0,0,0,370
E00073651,1,230,0,0,0,78,82,2,2,0,0,4,25,0,2,0,5,431
E00073652,0,206,0,0,0,52,34,0,1,0,0,4,28,0,0,0,2,327
E00073653,0,128,0,0,0,36,21,0,0,0,0,3,24,1,1,0,0,214
E00073654,0,164,0,0,0,86,61,0,1,0,0,8,27,1,0,0,2,350
E00073655,0,223,0,1,0,81,81,0,1,0,0,3,56,0,0,0,0,446
E00073656,0,216,0,0,0,55,67,1,2,0,0,11,36,0,1,0,1,390
E00073657,2,189,0,0,0,51,43,0,0,1,0,8,10,0,1,0,1,306
E00073658,1,168,0,0,0,73,43,0,0,0,0,10,28,0,0,0,0,323
E00073659,0,179,0,0,0,62,52,0,0,0,0,5,35,1,0,0,0,334
E00073660,2,196,0,0,0,90,55,2,2,0,0,6,41,0,0,2,3,399
E00073662,0,169,0,0,0,66,56,0,0,0,0,4,42,0,0,1,1,339
E00073663,0,162,0,0,0,54,70,0,2,0,0,6,25,1,0,0,0,320
E00073664,0,98,0,0,0,48,48,1,1,0,0,0,7,0,0,0,1,204
E00073665,3,153,0,0,0,56,58,1,4,0,1,3,28,0,1,3,4,315
E00073666,3,220,0,1,0,65,58,1,1,0,0,14,24,1,0,1,5,394
E00073667,0,295,0,0,0,77,61,0,1,0,0,16,63,0,0,1,2,516
E00073668,0,180,0,0,0,62,31,1,4,0,0,3,34,0,0,2,2,319
E00073669,0,133,0,1,0,35,45,0,0,0,0,7,49,0,0,2,3,275
E00073670,0,113,0,0,0,37,53,0,1,0,0,7,22,0,3,1,1,238
E00073671,0,199,0,0,0,68,42,0,2,0,0,3,50,0,0,1,4,369
E00073672,0,193,0,0,0,52,63,0,4,0,0,9,52,1,0,2,0,376
E00073673,2,133,0,0,0,23,34,0,3,0,1,10,39,1,1,0,1,248
E00073674,0,210,0,0,0,38,51,0,1,0,0,8,16,0,2,0,0,326
E00073675,2,153,0,0,0,28,52,1,4,0,1,5,8,0,3,1,2,260
E00073676,0,270,0,0,0,55,43,0,0,0,1,12,64,1,3,4,0,453
E00073677,1,224,0,0,0,35,48,1,0,0,0,15,22,2,0,1,1,350
E00073678,0,149,0,0,0,36,34,0,1,0,0,10,54,0,1,0,0,285
E00073679,0,93,0,0,0,37,37,0,1,0,0,8,19,0,0,3,1,199
E00073680,1,154,0,0,0,37,25,2,3,0,0,7,58,2,1,0,1,291
E00073681,1,275,0,2,0,72,55,1,7,0,1,5,61,1,0,6,31,518
E00073682,0,204,0,0,0,35,53,0,0,0,0,19,41,0,2,3,4,361
E00073683,3,228,0,0,0,67,43,1,1,0,0,8,37,0,1,4,5,398
E00073684,0,178,0,0,0,35,41,0,0,0,0,9,50,0,0,3,6,322
E00073685,0,176,0,2,0,49,32,1,0,1,0,5,47,1,1,0,7,322
E00073688,0,208,0,0,0,44,41,0,0,0,0,5,36,0,0,1,0,335
E00073689,1,173,0,1,0,53,32,0,0,0,0,7,44,0,0,3,6,320
E00073690,1,222,0,0,0,36,54,0,0,0,0,5,46,0,2,3,4,373
E00073691,3,183,0,1,0,62,38,1,1,0,1,15,17,2,3,0,10,337
E00073692,2,235,0,1,0,41,50,1,0,0,0,9,47,1,1,9,14,411
E00073693,2,226,0,0,0,53,59,3,5,2,0,13,85,0,5,5,9,467
E00073695,2,207,0,1,0,57,26,0,2,0,0,4,19,0,0,2,4,324
E00073696,0,182,0,0,0,41,50,3,2,0,0,5,31,1,2,0,2,319
E00073697,1,174,0,0,0,52,30,0,0,0,1,16,60,0,3,1,3,341
E00073698,1,254,0,0,0,40,55,2,4,0,3,13,79,1,2,8,8,470
E00073699,3,191,0,0,0,48,26,0,3,2,1,15,45,0,2,4,4,344
E00073700,1,147,0,0,0,45,35,0,1,0,0,5,25,0,0,0,2,261
E00073701,0,138,0,0,0,35,31,0,1,0,1,4,22,0,1,0,6,239
E00073702,0,152,0,0,0,49,43,1,3,0,0,8,28,0,0,4,1,289
E00073703,1,156,0,0,0,26,37,2,0,0,0,9,23,0,0,0,2,256
E00073704,1,130,0,0,0,42,48,1,0,0,0,2,19,2,2,0,2,249
E00073705,0,148,0,0,0,51,59,0,1,0,1,3,21,0,0,2,4,290
E00073706,1,233,0,0,0,54,35,0,0,0,0,6,50,0,0,0,0,379
E00073707,0,143,0,0,0,32,44,2,0,0,0,11,37,0,1,1,3,274
E00073708,1,168,0,0,0,43,54,0,0,0,1,2,29,0,2,1,3,304
E00073709,6,177,0,0,0,85,37,0,1,0,0,5,18,0,0,0,2,331
E00073710,0,151,1,0,0,39,61,0,2,0,0,5,9,0,0,0,2,270
E00073711,1,247,0,0,0,62,72,1,0,0,0,9,17,0,0,3,1,413
E00073712,1,207,0,0,0,91,37,0,0,1,0,0,12,0,1,1,0,351
