Row Labels,Any other combination of only UK identities,British only identity,Cornish and British only identity,Cornish only identity,Does not apply,English and British only identity,English only identity,Irish and at least one UK identity,Irish only identity,Northern Irish and British only identity,Northern Irish only identity,Other identity and at least one UK identity,Other identity only,Scottish and British only identity,Scottish only identity,Welsh and British only identity,Welsh only identity,TotalIde
E00178066,6,174,0,1,0,76,34,3,3,2,1,38,147,0,2,5,12,504
E00178067,0,100,0,0,0,22,39,0,2,0,1,12,24,2,0,2,1,205
E00178068,0,102,0,0,0,12,9,4,0,0,0,4,28,0,2,0,2,163
E00178069,1,243,0,4,0,48,23,0,2,0,1,27,46,1,5,3,11,415
E00178070,0,140,0,0,0,54,58,0,0,0,0,3,14,0,1,1,3,274
E00178071,2,112,0,0,0,38,11,0,0,0,1,5,45,2,4,2,4,226
E00178072,5,102,0,0,0,41,20,0,1,0,3,31,170,0,3,4,12,392
E00178073,0,59,0,0,0,10,6,0,1,0,1,13,99,1,1,1,1,193
E00178074,5,238,0,1,0,57,25,2,1,0,0,15,24,0,1,4,3,376
E00178075,2,61,0,0,0,19,17,3,3,0,1,5,10,0,2,0,2,125
E00178076,3,104,0,0,0,31,17,0,0,0,0,21,92,0,1,3,3,275
E00178077,0,77,0,0,0,3,9,0,1,1,1,9,13,0,0,0,2,116
E00178078,0,163,0,0,0,6,22,0,1,0,0,4,65,0,0,0,0,261
E00178079,3,263,0,2,0,52,36,0,0,0,0,12,82,1,5,4,11,471
E00178080,0,288,0,0,0,45,35,1,8,0,0,11,147,0,0,0,0,535
E00178081,0,80,0,0,0,9,17,0,1,1,1,2,37,1,1,0,0,150
E00178082,2,127,0,0,0,40,32,1,2,0,0,7,41,0,3,2,8,265
E00178083,2,170,0,2,0,44,17,2,1,0,0,29,121,0,0,5,10,403
E00178084,3,265,0,0,0,111,41,3,4,0,0,22,86,3,2,4,11,555
E00178085,0,37,0,1,0,8,8,1,2,1,0,5,42,0,0,0,3,108
E00178086,1,135,0,0,0,39,18,1,1,0,1,18,57,1,3,6,5,286
E00178087,0,264,0,0,0,31,20,1,3,0,2,10,83,0,1,2,3,420
E00178088,2,55,0,0,0,17,5,0,1,0,2,4,27,0,1,2,2,118
E00178089,0,353,0,0,0,20,13,1,1,0,0,19,100,0,0,0,2,509
E00178090,0,87,0,0,0,15,16,1,0,0,1,8,34,0,0,3,0,165
E00178091,0,157,0,0,0,48,32,0,1,0,0,12,38,0,1,1,2,292
E00178092,1,246,0,0,0,43,70,1,1,0,1,21,51,0,1,0,9,445
E00178093,1,54,0,0,0,13,11,0,1,0,0,13,85,0,1,4,5,188
E00178094,0,94,0,0,0,12,12,0,1,0,0,4,17,0,3,1,5,149
E00178095,0,99,0,0,0,29,15,0,2,0,0,7,18,0,2,1,0,173
E00178096,3,97,0,0,0,24,22,1,3,0,0,13,62,0,4,3,8,240
E00178097,0,81,0,0,0,11,9,0,0,0,0,8,28,3,0,0,0,140
E00178098,2,195,0,0,0,26,16,0,1,0,0,8,33,0,2,5,6,294
E00178099,1,160,0,0,0,42,29,0,1,1,1,5,22,1,0,3,0,266
E00178100,0,143,0,0,0,24,20,3,5,0,4,9,28,1,0,2,5,244
E00178101,0,85,0,0,0,28,18,0,0,2,0,9,70,0,1,5,4,222
E00178102,0,231,0,0,0,53,45,0,0,0,0,6,52,1,1,0,4,393
E00178103,3,133,0,0,0,31,21,0,3,0,0,2,33,3,3,7,3,242
E00178104,0,207,0,0,0,51,38,0,2,0,0,3,22,0,0,0,0,323
E00178105,0,76,0,0,0,13,19,2,1,0,0,1,13,1,2,0,2,130
E00178106,13,312,0,0,0,138,49,1,0,0,0,39,41,6,9,3,6,617
E00178107,0,130,0,0,0,21,9,0,1,0,0,13,27,1,3,0,1,206
E00178108,3,347,0,0,0,55,42,0,0,0,0,19,59,4,0,1,4,534
E00178109,0,81,0,1,0,19,10,0,1,0,0,10,67,0,0,0,1,190
E00178110,0,99,0,0,0,41,17,1,0,1,0,4,35,0,1,0,6,205
E00178111,1,54,0,0,0,12,4,0,2,1,0,8,21,0,0,2,1,106
E00178112,1,155,0,1,0,35,27,1,5,0,1,23,155,1,3,0,8,416
E00178113,0,182,0,0,0,35,31,0,0,0,2,0,46,0,0,0,1,297
E00178114,2,272,0,0,0,127,48,1,7,2,0,37,207,0,2,2,19,726
E00178115,0,60,0,1,0,15,10,0,2,1,2,6,16,0,1,2,1,117
E00178116,0,99,0,0,0,7,3,1,0,0,0,6,39,1,0,0,0,156
E00178117,0,209,0,1,0,83,47,2,1,0,0,25,92,0,1,2,17,480
E00178118,1,180,0,0,0,54,24,0,1,0,0,17,51,0,1,1,3,333
E00178119,0,189,0,0,0,73,41,0,0,0,0,2,13,0,1,0,0,319
