Row Labels,"L1, L2 and L3: Higher managerial, administrative and professional occupations",L10 and L11: Lower supervisory and technical occupations,L12: Semi-routine occupations,L13: Routine occupations,L14.1 and L14.2: Never worked and long-term unemployed,L15: Full-time students,"L4, L5 and L6: Lower managerial, administrative and professional occupations",L7: Intermediate occupations,L8 and L9: Small employers and own account workers,TotalOcc
E00174281,54,6,22,24,13,26,52,14,14,225
E00174282,71,23,27,40,13,37,86,33,24,354
E00174283,44,8,29,24,22,20,73,29,15,264
E00174284,96,1,9,15,10,77,58,19,5,290
E00174286,56,10,18,15,12,7,65,25,11,219
E00174287,51,5,10,10,5,23,40,23,11,178
E00174288,32,19,20,22,26,29,42,29,20,239
E00174289,37,10,14,24,16,38,61,24,16,240
E00174290,14,11,31,46,39,17,17,12,15,202
E00174291,65,14,23,26,7,20,80,31,26,292
E00174292,52,13,16,22,11,12,95,29,12,262
E00174293,76,11,12,19,6,326,52,12,15,529
E00174294,55,5,8,16,91,127,39,23,15,379
E00174295,49,5,4,13,3,754,28,13,7,876
E00174296,86,9,17,9,15,123,60,25,15,359
E00174298,6,1,7,13,6,308,21,6,5,373
E00174299,87,9,19,24,10,19,76,21,12,277
E00174300,73,4,6,14,4,18,50,32,10,211
E00174302,31,5,7,12,14,18,28,10,7,132
E00174303,55,7,7,3,4,9,74,26,14,199
E00174304,32,3,21,20,31,13,37,23,11,191
E00174305,12,10,11,34,34,25,14,7,16,163
E00174306,12,15,46,35,32,24,22,23,18,227
E00174307,47,4,10,4,7,362,33,9,9,485
E00174309,56,4,6,5,4,14,46,9,7,151
E00174311,48,3,6,4,5,15,57,15,8,161
E00174312,40,3,11,2,3,180,23,10,4,276
E00174313,45,6,16,12,13,8,46,17,6,169
E00174314,20,3,21,38,12,14,22,26,16,172
E00174315,78,8,13,24,17,24,79,31,34,308
E00174316,45,5,12,9,3,133,28,13,6,254
E00174317,46,9,6,6,5,3,26,8,4,113
E00174318,30,6,5,4,2,11,28,11,9,106
E00174319,10,3,20,35,29,29,16,13,11,166
E00174320,23,7,27,26,19,23,37,25,25,212
E00174321,10,7,8,11,8,535,12,11,6,608
E00174322,4,3,25,28,42,19,9,10,17,157
E00174323,13,7,26,48,55,5,23,4,11,192
E00174324,35,9,20,16,8,390,23,20,14,535
E00174325,98,13,18,12,8,56,81,29,22,337
E00174326,21,8,41,59,46,27,46,42,42,332
E00174327,37,16,27,34,14,35,59,40,33,295
E00174328,33,10,19,18,13,54,37,24,8,216
E00174329,33,6,23,28,29,41,58,31,21,270
E00174331,32,2,5,4,0,9,19,10,7,88
E00174332,68,8,9,12,6,32,64,14,19,232
E00174333,64,4,14,6,3,55,55,17,9,227
E00178043,54,6,11,12,15,51,47,15,6,217
E00178044,56,5,5,8,2,468,53,14,4,615
E00178045,31,9,9,10,5,212,36,23,6,341
E00178046,73,10,14,13,8,1440,61,22,13,1654
E00178047,58,4,15,17,4,2,55,19,20,194
E00178048,59,6,4,4,13,30,41,11,0,168
E00178049,67,4,13,9,11,19,67,24,12,226
E00178050,2,6,36,57,47,61,16,11,22,258
E00178051,10,7,53,47,44,24,22,15,11,233
E00178052,47,5,17,14,17,50,55,24,15,244
E00178053,139,4,15,6,8,15,123,23,13,346
E00178054,30,7,23,16,11,25,49,14,16,191
E00178055,33,0,7,7,2,4,32,12,4,101
E00178056,33,4,8,13,3,756,32,15,13,877
E00178057,105,8,22,25,11,54,116,38,27,406
E00178058,39,2,4,12,17,21,34,6,5,140
E00178059,84,16,18,17,13,21,67,19,15,270
E00178060,131,4,10,15,13,17,113,19,21,343
E00178061,80,11,15,15,12,24,98,38,22,315
E00178062,43,16,39,38,17,19,78,32,16,298
E00178063,25,4,19,15,27,4,21,20,13,148
E00178064,48,2,10,3,3,2020,29,9,6,2130
E00178065,49,2,14,7,5,14,69,15,10,185
E00178066,54,4,3,6,6,357,33,19,7,489
E00178067,19,6,22,27,24,8,30,22,20,178
E00178068,11,4,14,15,6,31,32,7,10,130
E00178069,155,9,14,11,6,10,119,32,16,372
E00178070,15,20,32,42,12,5,45,39,26,236
E00178071,32,2,23,28,8,8,56,18,9,184
E00178072,92,7,9,5,10,176,60,10,10,379
E00178073,75,6,7,2,0,27,45,13,9,184
E00178074,90,4,12,11,6,48,75,17,25,288
E00178075,38,1,2,7,6,3,30,10,14,111
E00178076,111,5,8,11,8,29,70,21,10,273
E00178077,42,4,7,1,3,6,16,4,15,98
E00178078,3,5,14,31,37,7,9,8,20,134
E00178079,167,9,16,9,9,44,134,30,33,451
E00178080,12,20,58,76,50,51,30,21,36,354
E00178081,26,6,16,16,13,2,26,15,5,125
E00178082,45,8,25,33,7,14,57,22,17,228
E00178083,51,6,17,10,9,190,68,16,16,383
E00178084,112,24,38,32,10,26,169,74,42,527
E00178085,12,10,17,14,0,15,16,8,9,101
E00178086,95,3,14,5,5,20,91,30,16,279
E00178087,31,11,38,33,37,78,60,18,34,340
E00178088,52,1,5,5,2,13,32,7,2,119
E00178089,10,11,26,62,69,44,16,14,47,299
E00178090,32,3,17,13,7,19,33,19,12,155
E00178091,30,10,25,38,17,12,45,30,16,223
E00178092,49,21,41,47,26,31,79,59,38,391
E00178093,72,4,4,4,7,24,33,9,10,167
E00178094,15,8,10,17,2,6,40,19,22,139
E00178095,26,9,12,9,8,21,24,18,7,134
E00178096,21,5,3,8,1,155,29,8,7,237
E00178097,50,0,9,4,3,10,37,2,13,128
E00178098,47,12,19,17,28,24,43,23,19,232
E00178099,42,2,12,8,6,27,60,22,29,208
E00178100,68,5,4,7,7,38,44,13,11,197
E00178101,82,5,6,8,7,16,61,17,8,210
E00178102,15,20,52,57,40,32,36,16,27,295
E00178103,83,8,8,5,4,6,78,22,14,228
E00178104,14,21,30,68,31,23,30,17,17,251
E00178105,42,3,8,5,8,0,36,10,12,124
E00178106,67,1,6,7,7,403,55,9,25,580
E00178107,35,6,9,9,5,10,40,16,10,140
E00178108,70,12,39,29,32,33,105,44,28,392
E00178109,77,2,7,3,8,13,49,9,5,173
E00178110,35,14,9,7,6,9,56,16,13,165
E00178111,30,1,3,3,5,40,14,2,5,103
E00178112,173,4,11,11,17,34,98,17,23,388
E00178113,10,11,32,49,24,19,42,20,24,231
E00178114,75,6,10,5,2,555,46,12,5,716
E00178115,45,1,6,2,0,9,36,11,7,117
E00178116,3,0,10,29,20,24,13,4,14,117
E00178117,111,22,25,36,45,33,105,51,25,453
E00178118,45,24,30,26,11,9,79,51,17,292
E00178119,13,19,37,54,24,14,24,33,22,240
