Row Labels,"L1, L2 and L3: Higher managerial, administrative and professional occupations",L10 and L11: Lower supervisory and technical occupations,L12: Semi-routine occupations,L13: Routine occupations,L14.1 and L14.2: Never worked and long-term unemployed,L15: Full-time students,"L4, L5 and L6: Lower managerial, administrative and professional occupations",L7: Intermediate occupations,L8 and L9: Small employers and own account workers,TotalOcc
E00074158,39,10,37,30,15,9,63,28,36,267
E00074159,12,19,43,47,44,39,33,33,26,296
E00074160,24,23,38,34,18,16,52,36,29,270
E00074161,70,15,47,51,27,19,81,38,30,378
E00074162,11,16,47,46,30,23,26,28,27,254
E00074163,23,13,38,46,21,17,38,36,26,258
E00074164,30,21,28,27,7,16,60,33,26,248
E00074165,19,20,39,46,36,24,37,31,33,285
E00074166,47,14,37,40,14,18,81,49,31,331
E00074167,27,12,29,29,29,19,26,29,28,228
E00074168,39,7,27,23,16,9,67,25,29,242
E00074169,63,9,22,15,3,9,86,24,25,256
E00074170,34,15,29,38,29,23,77,35,35,315
E00074171,30,11,24,48,16,10,56,35,22,252
E00074172,35,23,31,44,19,20,46,37,30,285
E00074173,44,10,38,29,8,18,80,38,25,290
E00074174,58,26,30,29,18,24,101,43,40,369
E00074175,39,22,48,48,30,20,62,44,27,340
E00074176,42,18,15,24,15,13,62,37,27,253
E00074177,29,9,27,31,13,13,55,29,18,224
E00074178,42,17,25,23,24,5,76,24,40,276
E00074179,32,17,25,52,27,21,59,41,33,307
E00074180,38,23,45,47,20,15,67,47,46,348
E00074181,51,10,37,52,21,13,86,36,35,341
E00074182,16,12,28,56,40,12,22,14,22,222
E00074183,42,6,14,25,26,17,57,24,26,237
E00074184,45,14,24,22,9,12,58,35,30,249
E00074185,53,12,11,17,8,11,74,24,30,240
E00074186,60,10,15,32,10,15,69,38,46,295
E00074187,34,8,22,33,6,4,78,31,23,239
E00074188,29,12,21,12,7,15,58,16,21,191
E00074189,44,11,32,22,8,9,68,20,15,229
E00074190,48,18,29,31,14,14,60,38,32,284
E00074191,36,22,28,62,49,17,82,36,27,359
E00074193,6,18,54,64,47,33,22,19,27,290
E00074194,20,9,29,33,18,4,24,25,13,175
E00074195,24,20,36,34,7,7,64,33,11,236
